SCHOOL_ID,HOUSE_ID
10016,8486
10016,8617
10016,8642
10016,8287
10016,7820
10016,8687
10016,8288
10016,8225
10016,8498
10016,7752
10016,8269
10016,8270
10016,8379
10016,8123
10016,8124
10016,8127
10016,7954
10016,8271
10016,8129
10016,8203
10016,8380
10016,8130
10016,8131
10016,8132
10016,8133
10016,8572
10016,8573
10016,8530
10016,8609
10016,8290
10016,8195
10016,7849
10016,8272
10016,8610
10016,8391
10016,7817
10016,7818
10016,7871
10016,7984
10016,7767
10016,7781
10016,8281
10016,8021
10016,8304
10016,8314
10016,7901
10016,8335
10016,7815
10016,7877
10016,8392
10016,8487
10016,8495
10016,8502
10016,8505
10016,7798
10016,8648
10016,8423
10016,8677
10016,8676
10016,8282
10016,8688
10016,8689
10016,8690
10016,8176
10016,7985
10016,7988
10016,8597
10016,7872
10016,7989
10016,7768
10016,8177
10016,8305
10016,8315
10016,7902
10016,8326
10016,7821
10016,8009
10016,8264
10016,7799
10016,8319
10016,8664
10016,8346
10016,8424
10016,8678
10016,8425
10016,8679
10016,8238
10016,8256
10016,8393
10016,8492
10016,8316
10016,7810
10016,8336
10016,7816
10016,8479
10016,8437
10016,8511
10016,8545
10016,8571
10016,8265
10016,8248
10016,8427
10016,8266
10016,8178
10016,8284
10016,8374
10016,7903
10016,7904
10016,8010
10016,8063
10016,8011
10016,7990
10016,8268
10016,8035
10016,8189
10016,7782
10016,8306
10016,8327
10016,7879
10016,8489
10016,8428
10016,8643
10016,7800
10016,8320
10016,7950
10016,7751
10016,8681
10016,8468
10016,8682
10016,8513
10016,8252
10016,8608
10016,7955
10016,8135
10016,8381
10016,8500
10016,7956
10016,8382
10016,8544
10016,8291
10016,8684
10016,8273
10016,8122
10016,7863
10016,8538
10016,8623
10016,8685
10016,8275
10016,8295
10016,8624
10016,8204
10016,8206
10016,7979
10016,7949
10016,8240
10016,8607
10016,7910
10016,8179
10016,8234
10016,8308
10016,8440
10016,8491
10016,8429
10016,8515
10016,8342
10016,8539
10016,7991
10016,8331
10016,7992
10016,8417
10016,8337
10016,8339
10016,8340
10016,8341
10016,8338
10016,8014
10016,8259
10016,7783
10016,8378
10016,7777
10016,7866
10016,7973
10016,7906
10016,7762
10016,8267
10016,7779
10016,8276
10016,7770
10016,8321
10016,7811
10016,8384
10016,8419
10016,8551
10016,8598
10016,8626
10016,8649
10016,8665
10016,8136
10016,8577
10016,8297
10016,7959
10016,8298
10016,8299
10016,8576
10016,8070
10016,7804
10016,8084
10016,8138
10016,8300
10016,8311
10016,7808
10016,8328
10016,7812
10016,8354
10016,8254
10016,8394
10016,7822
10016,8420
10016,7929
10016,8599
10016,7771
10016,7907
10016,8071
10016,8085
10016,8277
10016,8322
10016,8472
10016,8627
10016,7931
10016,7780
10016,8323
10016,7763
10016,7805
10016,8442
10016,8301
10016,7813
10016,8385
10016,8395
10016,8482
10016,8421
10016,8097
10016,8090
10016,8091
10016,8554
10016,8555
10016,7911
10016,8612
10016,7791
10016,7864
10016,8293
10016,8294
10016,8126
10016,8196
10016,8542
10016,8016
10016,7827
10016,8289
10016,7952
10016,8197
10016,8517
10016,7828
10016,7953
10016,7784
10016,8198
10016,7976
10016,8212
10016,8324
10016,8329
10016,8244
10016,8628
10016,8317
10016,7908
10016,7909
10016,8139
10016,8140
10016,8141
10016,8355
10016,8041
10016,8278
10016,8279
10016,7772
10016,8086
10016,8261
10016,7913
10016,8237
10016,8483
10016,7824
10016,8556
10016,8578
10016,7794
10016,8092
10016,7881
10016,7754
10016,7773
10016,8519
10016,8075
10016,8474
10016,8484
10016,7995
10016,7967
10016,8600
10016,8318
10016,8396
10016,7980
10016,8397
10016,7981
10016,8629
10016,8630
10016,7978
10016,7774
10016,8143
10016,7795
10016,7936
10016,7796
10016,8557
10016,8558
10016,7888
10016,8443
10016,7982
