"ID","NAME","NUMB","TYPE","CLOSED","ADDRESS","OKRUG","RAYON","COMPLEX_ID","RATING","STUDENTS_2014","STUDENTS_2015","STUDENTS_2016","STUDENTS_PROJECT_CATCHMENT","STUDENTS_PROJECT_COMPLEX","STUDENTS_PROJECT_SNIP","DIST_TO_CENTER"
11009,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №89 имени А.П. Маресьева",89,"школа",FALSE,"123592, г. Москва, ул. Кулакова, д.12, к. 2","СЗАО","Строгино",112,,629,637,652,1271,763,555,15471.7558206669
11010,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №891 имени Алии Молдагуловой",891,"школа",FALSE,"111538, г. Москва ул. Молдагуловой, д.13 А","ВАО","Вешняки",681,,602,592,566,0,591,549,13661.4840271106
11011,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №893",893,"школа",FALSE,"115580 г. Москва, ул. М.Джалиля д.17,к.3","ЮАО","Зябликово",854,,373,382,380,550,406,579,16394.5639476141
11012,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №894",894,"школа",FALSE,"109507, г. Москва, Ферганский проезд, д. 10, к. 4","ЮВАО","Выхино-Жулебино",435,,510,484,457,1212,606,697,13966.8862334354
11013,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №899",899,"школа",FALSE,"109377, город Москва, улица Зеленодольская, дом 7, корпус 4","ЮВАО","Рязанский",484,,461,480,496,738,738,765,11457.8930616741
11014,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №611",611,"школа",FALSE,"119421, г.Москва, ул.Новаторов, д.34, корп.1, 2","ЮЗАО","Обручевский",538,,498,580,710,0,949,821,11746.7388919497
11015,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №9",9,"школа",FALSE,"119421, г.Москва, ул.Новаторов, д.34, корп.1, 2","ЮЗАО","Обручевский",538,,498,580,710,1423,949,682,11672.0887445577
11016,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №552",552,"школа",FALSE,"117535 г. Москва, 3-ий Дорожный проезд, дом 6 А","ЮАО","Чертаново Южное",325,,453,457,472,0,746,849,17066.6048955594
11017,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №900",900,"школа",FALSE,"117535 г. Москва, 3-ий Дорожный проезд, дом 6 А","ЮАО","Чертаново Южное",325,,453,457,472,1119,746,698,17118.5598178073
11018,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №902",902,"школа",FALSE,"115404 г. Москва, ул. Педагогическая, д.3","ЮАО","Бирюлёво Восточное",356,,786,788,796,2820,940,1228,17773.2877855584
11019,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №904",904,"школа",FALSE,"115477 г. Москва, Кавказский б-р, д.16,к.2","ЮАО","Царицыно",337,,539,642,650,1731,1359,1112,13688.7308899951
11020,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №905",905,"школа",FALSE,"111531, г.Москва, Энтузиастов ш., д.96 Г.","ВАО","Ивановское",699,,515,526,534,0,426,539,13266.7820727576
11021,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №897",897,"школа",FALSE,"124527, г. Москва, Зеленоград, корп. 818","ЗелАО","Старое Крюково",783,,465,478,500,0,413,348,37027.8177658374
11022,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №909",909,"школа",FALSE,"124527, г. Москва, Зеленоград, корп. 818","ЗелАО","Старое Крюково",783,201,465,478,500,0,413,322,36605.4625961604
11023,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №910",910,"школа",FALSE,"129327, г. Москва, улица Ленская, дом  6","СВАО","Бабушкинский",248,,485,495,521,1505,1003,904,12952.2055687119
11024,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №911",911,"школа",FALSE,"109428, г. Москва, Зарайская улица д. 55","ЮВАО","Рязанский",423,,356,356,360,0,473,331,10371.5454535968
11025,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №913",913,"школа",FALSE,"109380, г. Москва, ул. Степана Шутова, д. 8, кор. 3","ЮВАО","Люблино",478,,380,392,401,711,711,468,14846.0974570233
11026,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №914",914,"школа",FALSE,"119517 г.Москва, ул.Матвеевская, д. 34, корп. 2","ЗАО","Очаково-Матвеевское",730,,558,582,599,1086,1086,899,11146.4381024265
11027,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №915",915,"школа",FALSE,"115547 Москва, Бирюлевская, 50","ЮАО","Бирюлёво Восточное",365,,835,891,925,971,1274,1155,19027.8150720289
11028,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №916",916,"школа",FALSE,"115551 г. Москва, Ореховый б-р д.11 к.3","ЮАО","Орехово-Борисово Северное",377,,511,514,528,507,592,642,16845.4112538845
