"ID","DRIVE_DURATION","DRIVE_DISTANCE"
"1154","438","3652"
"1155","295","2223"
"1156","368","2985"
"1157","375","3030"
"1158","380","3055"
"1159","296","2220"
"1160","267","2127"
"1161","339","2904"
"1162","340","2912"
"1163","363","3251"
"1164","288","2134"
"1165","348","2968"
"1166","363","3002"
"1167","383","3079"
"1168","387","3097"
"1169","439","3608"
"1170","364","3097"
"1171","411","3215"
"1172","387","3233"
"1173","373","3172"
"1174","400","3331"
"1175","404","3348"
"1176","388","3302"
"1177","435","3569"
"1178","424","3529"
"1179","515","4165"
"1180","425","3536"
"1181","388","2991"
"1182","383","2942"
"1183","434","3312"
"1184","502","4335"
"1185","521","4273"
"1186","512","4141"
"1187","509","4116"
"1188","534","4196"
"1189","523","4072"
"1190","531","4290"
"1191","545","4174"
"1192","562","4397"
"1193","527","4068"
"1194","569","4417"
"1195","560","4153"
"1196","507","4304"
"1197","522","4598"
"1198","555","4135"
"1199","569","4117"
"1200","544","3958"
"1201","507","3872"
"1202","479","3509"
"1203","513","3848"
"1204","462","3427"
"1205","514","4367"
"1206","506","3814"
"1207","481","3644"
"1208","486","3654"
"1209","501","3698"
"1210","475","3532"
"1211","458","3555"
"1212","458","3488"
"1213","492","4200"
"1214","512","4212"
"1215","464","3489"
"1216","477","3516"
"1217","471","3329"
"1218","454","3384"
"1219","484","3397"
"1220","469","3322"
"1221","456","3283"
"1222","466","3334"
"1223","426","3173"
"1224","442","3110"
"1225","431","3000"
"1226","428","2981"
"1227","495","4152"
"1228","527","4316"
"1229","418","2930"
"1230","472","3288"
"1231","457","3234"
"1232","433","3003"
"1233","524","4290"
"1234","433","3169"
"1235","437","3024"
"1236","449","3227"
"1237","438","3140"
"1238","469","3392"
"1239","446","3185"
"1240","474","3495"
"1241","455","3229"
"1242","484","4089"
"1243","478","3495"
"1244","471","3485"
"1245","491","3642"
"1246","484","3798"
"1247","472","3735"
"1248","460","3675"
"1249","428","3569"
"1250","411","3427"
"1251","295","2368"
"1252","293","2533"
"1253","288","2465"
"1254","345","2375"
"1255","355","2429"
"1256","338","2372"
"1257","345","2403"
"1258","347","2505"
"1259","339","2613"
