OBJECTID;ADDRESS;settlement;street;building_n;geocoded;POINT_X;POINT_Y;ID;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
1300;Москва, Архитектора Власова ул, д.19, корп.2; ; ; ;Россия, Москва, улица Архитектора Власова, 19к2;37.552876;55.676274;15340;1624;0.00164;37.554385;55.676918
1301;Москва, Архитектора Власова ул, д.19, корп.3; ; ; ;Россия, Москва, улица Архитектора Власова, 19к3;37.553468;55.676391;15341;1624;0.001056;37.554385;55.676918
1302;Москва, Архитектора Власова ул, д.19, корп.4; ; ; ;Россия, Москва, улица Архитектора Власова, 19к4;37.552076;55.675423;15342;1695;0.001924;37.551041;55.6738
1303;Москва, Архитектора Власова ул, д.19, корп.5; ; ; ;Россия, Москва, улица Архитектора Власова, 19к5;37.552695;55.675544;15343;1624;0.002177;37.554385;55.676918
1304;Москва, Архитектора Власова ул, д.21, корп.1; ; ; ;Россия, Москва, улица Архитектора Власова, 21к1;37.549309;55.675457;15344;1695;0.002397;37.551041;55.6738
1305;Москва, Архитектора Власова ул, д.21, корп.2; ; ; ;Россия, Москва, улица Архитектора Власова, 21к2;37.550431;55.675133;15345;1695;0.001465;37.551041;55.6738
1306;Москва, Архитектора Власова ул, д.23, корп.1; ; ; ;Россия, Москва, улица Архитектора Власова, 23к1;37.548814;55.675021;15346;1695;0.002539;37.551041;55.6738
1307;Москва, Архитектора Власова ул, д.25, корп.1; ; ; ;Россия, Москва, улица Архитектора Власова, 25к1;37.548357;55.67457;15347;1695;0.002792;37.551041;55.6738
1308;Москва, Архитектора Власова ул, д.27; ; ; ;Россия, Москва, улица Архитектора Власова, 27;37.547584;55.674311;15348;1695;0.003493;37.551041;55.6738
1309;Москва, Архитектора Власова ул, д.3; ; ; ;Россия, Москва, улица Архитектора Власова, 3;37.554294;55.680478;15349;1624;0.003561;37.554385;55.676918
1310;Москва, Архитектора Власова ул, д.5, корп.1; ; ; ;Россия, Москва, улица Архитектора Власова, 5к1;37.554026;55.679878;15350;1624;0.002982;37.554385;55.676918
1311;Москва, Архитектора Власова ул, д.5, корп.2; ; ; ;Россия, Москва, улица Архитектора Власова, 5к2;37.555165;55.679752;15351;1624;0.002939;37.554385;55.676918
1312;Москва, Архитектора Власова ул, д.7, корп.1; ; ; ;Россия, Москва, улица Архитектора Власова, 7к1;37.553603;55.679488;15352;1624;0.002687;37.554385;55.676918
1313;Москва, Архитектора Власова ул, д.7, корп.2; ; ; ;Россия, Москва, улица Архитектора Власова, 7к2;37.554743;55.679356;15353;1624;0.002465;37.554385;55.676918
1314;Москва, Архитектора Власова ул, д.9, корп.1; ; ; ;Россия, Москва, улица Архитектора Власова, 9к1;37.553162;55.679081;15354;1624;0.002485;37.554385;55.676918
1315;Москва, Архитектора Власова ул, д.9, корп.2; ; ; ;Россия, Москва, улица Архитектора Власова, 9к2;37.55433;55.678965;15355;1624;0.002048;37.554385;55.676918
1316;Москва, Архитектора Власова ул, д.9, корп.3; ; ; ;Россия, Москва, улица Архитектора Власова, 9к3;37.556198;55.678325;15356;656;0.002193;37.556594;55.676168
1317;Москва, Гарибальди ул, д.17, корп.1; ; ; ;Россия, Москва, улица Гарибальди, 17к1;37.547926;55.673188;15357;1695;0.003174;37.551041;55.6738
1318;Москва, Гарибальди ул, д.17, корп.2; ; ; ;Россия, Москва, улица Гарибальди, 17к2;37.547962;55.673762;15358;1695;0.003079;37.551041;55.6738
1319;Москва, Гарибальди ул, д.17, корп.3; ; ; ;Россия, Москва, улица Гарибальди, 17к3;37.548796;55.673462;15359;1695;0.002269;37.551041;55.6738
1320;Москва, Гарибальди ул, д.17, корп.4; ; ; ;Россия, Москва, улица Гарибальди, 17к4;37.549507;55.673234;15360;1695;0.001634;37.551041;55.6738
1321;Москва, Гарибальди ул, д.21; ; ; ;Россия, Москва, улица Гарибальди, 21;37.550693;55.672224;15361;1695;0.001613;37.551041;55.6738
