ID	COMPLEX_ID	ADDRESS
271	49	Москва, ул. Большая Грузинская, д.67, стр.1
272	49	Москва, ул. Большая Грузинская, д.67, стр.1
273	49	Москва, ул. Васильевская, д.4
274	49	Москва, ул. Васильевская, д.4
275	50	Москва, ул. 2-я Звенигородская, д.8
276	50	Москва, Звенигородское ш., д.3А, стр.1
277	50	Москва, ул. Большая Декабрьская, д.1А
278	51	Москва, ул. Вишневая, д.. 20, корп.1
279	51	Москва, 1-й Тушинский пр., д.12
280	51	Москва, 1-й Тушинский пр., д.13
281	51	Москва, 1-й Тушинский пр., д.10
282	51	Москва, 1-й Тушинский пр., д.10, корп.1
283	51	Москва, ул. Долгова, д. 14А
284	52	Москва, ул. Кулакова, д. 2, корп.2
285	52	Москва, ул. Маршала Катукова, д. 3, корп.2
286	53	Москва, ул. Мневники, д. 7, корп.5
287	53	Москва, Карамышевская наб., д. 22, корп.2
288	53	Москва, ул. Мневники, д. 14, корп.1
289	53	Москва, ул. Мневники, д.7, корп.4
290	53	Москва, ул. Мневники, д. 9, корп.2
291	53	Москва, ул. Мневники, д.13, корп.2
292	53	Москва, ул. Мневники, д.13, корп.3
293	54	Москва, ул. Фомичевой, д. 1, корп.1
294	54	Москва, ул. Свободы, д. 81, корп.6
295	54	Москва, ул. Свободы, д. 81, корп.1
296	54	Москва, ул. Героев Панфиловцев, д. 8, корп.2
297	54	Москва, ул. Героев Панфиловцев, д. 6, стр.2
298	54	Москва, ул. Свободы, д. 87, корп.2
299	55	Москва, ул. Живописная, д. 11, корп.1
300	55	Москва, ул. Живописная, д. 11, корп.2
301	55	Москва, Карамышевская наб., д. 54, корп.2
302	55	Москва, ул. Живописная, д. 2, корп.2
303	55	Москва, ул. Маршала Тухачевского, д. 58, корп.2
304	55	Москва, ул. Живописная, д. 9, корп.4
305	55	Москва, ул. Маршала Тухачевского, д. 61, корп.2
306	55	Москва, Новикова-Прибоя наб., д. 16, корп.6
307	56	Москва, ул. Народного Ополчения, д. 22, корп.4
308	56	Москва, ул. Демьяна Бедного, д. 19, корп.3
309	57	Москва, ул. Таллинская, д. 16, корп.4
310	57	Москва, ул. Твардовского, д. 17, корп.2
311	57	Москва, ул. Твардовского, д. 13, корп.1
312	58	Москва, ул. Митинская, д. 46, корп.2
313	58	Москва, Пятницкое ш., д. 35, корп.2
314	58	Москва, ул. Митинская, д. 52, корп.3
315	59	Москва, ул. Народного Ополчения, д. 27, корп.2
316	59	Москва, Генерала Карбышева бульв., д. 10, корп.4
317	59	Москва, Маршала Жукова просп., д.34
318	60	Москва, ул. Вилиса Лациса, д. 33, корп.2
319	60	Москва, ул. Вилиса Лациса, д. 37, корп.2
320	61	Москва, ул. Маршала Новикова, д. 13
321	61	Москва, ул. Маршала Василевского, д.3, корп.2
322	61	Москва, ул. Маршала Василевского, д.11, корп.2
323	61	Москва, ул. Академика Бочвара, д.4
324	61	Москва, ул. Маршала Новикова, д. 4, корп.3
325	61	Москва, ул. Маршала Василевского, д. 11, корп.6
326	62	Москва, Новотушинский пр., д. 8, корп.2
327	62	Москва, Пятницкое ш., д. 16, корп.5
328	63	Москва, ул. Б. Набережная, д. 23
329	63	Москва, ул. Подмосковная, домовладение 3, корп.1
330	63	Москва, ул. Свободы, домовладение 4, корп.3
331	64	Москва, ул. Твардовского, д. 20
332	64	Москва, Строгинский бульв., д. 14, корп.6
333	65	Москва, ул. Барышиха, д. 32
334	65	Москва, ул. Барышиха, д. 32, корп.2
335	65	Москва, ул. Барышиха, д. 34, корп.1
336	66	Москва, Генерала Карбышева бульв., д. 16, корп.3
337	66	Москва, Генерала Карбышева бульв., д. 24, корп.2
338	67	Москва, ул. Барышиха, д. 20, корп.1
339	67	Москва, ул. Барышиха, д. 15, корп.1
340	68	Москва, ул. Нелидовская, д. 10, корп.1
341	68	Москва, ул. Фабрициуса, д. 32, корп.2
342	68	Москва, ул. Сходненская, д. 48
343	69	Москва, ул. Планерная, д. 14, корп.4
344	69	Москва, ул. Планерная, д. 16, корп.7
345	69	Москва, ул. Планерная, д. 12, корп.7
346	70	Москва, Волоколамский пр., домовл. 5, корп.3
