OBJECTID;ID;NAME;NUMB;TYPE;CURRENT_USE;ADDRESS;OKRUG;RAYON;COMPLEX_ID
774;616;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №393;393;школа;;"109386, г. Москва, ул Краснодарская, д. 45/11; г. Москва, ул. Ставропольская, д. 30, к. 2";ЮВАО;Люблино;494
1100;617;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №396;396;школа;;109544  г.Москва, Новорогожская ул., д.18,стр.1;ЦАО;Таганский;878
775;618;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №4;4;школа;;117218, г.Москва, ул.Профсоюзная, д. 9А;ЮЗАО;Академический;588
776;619;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №400;400;школа;;111531, г. Москва, шоссе Энтузиастов, дом  100 А;ВАО;Ивановское;664
777;620;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №403;403;школа;;105264, г. Москва, Сиреневый б-р, д. 20;ВАО;Измайлово;695
1101;621;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №405;405;школа;;111555, г. Москва, ул. Сталеваров, дом 16 А;ВАО;Ивановское;691
1102;622;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №406;406;школа;;111399, Москва, Зеленый проспект, дом 59;ВАО;Перово;837
778;623;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №407;407;школа;;111395, г. Москва, ул. Снайперская,  д. 4 А;ВАО;Вешняки;670
779;624;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №409;409;школа;;111396, г. Москва, ул. Фрязевская , д. 5;ВАО;Новогиреево;840
1104;626;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №411;411;школа;;111558, г. Москва, ул. Сталеваров, д. 20 А;ВАО;Ивановское;691
785;627;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1761;1761;начальная школа;начальная школа;111033, г. Москва, Танковый проезд, д. 3 А;ЮВАО;Лефортово;436
784;627;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №415;415;школа;;111033, г. Москва, Танковый проезд, д. 3 А;ЮВАО;Лефортово;436
1106;628;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №416;416;школа;;111024, г. Москва, ул, Шепелюгинская дом 21 строение 1,2;ЮВАО;Лефортово;842
786;629;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №417;417;школа;;111250, г.Москва Красноказарменная ул., д. 11;ЮВАО;Лефортово;479
787;630;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №419;419;школа;;105264, г. Москва, улица  Верхняя Первомайская, д.47А;ВАО;Измайлово;695
1107;631;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №420;420;школа;;115551 г.Москва, Шипиловская ул.д.18. к.2;ЮАО;Орехово-Борисово Северное;377
1108;632;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №423;423;школа;;111399, г.Москва, Федеративный проспект,  д. 1 А;ВАО;Перово;929
788;633;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №424;424;школа;;111020 г. Москва ул. Авиамоторная д.1;ЮВАО;Лефортово;485
789;633;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №720;720;школа;;111020 г. Москва ул. Авиамоторная д.1;ЮВАО;Лефортово;485
790;634;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №425;425;школа;;125475, г. Москва, ул. Клинская, д.24;САО;Ховрино;188
791;635;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №426;426;школа;;115563 г. Москва, Борисовский пр-д, д.10, к.2;ЮАО;Орехово-Борисово Северное;317
793;635;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №938;938;школа;;115563 г. Москва, Борисовский пр-д, д.10, к.2;ЮАО;Орехово-Борисово Северное;317
795;636;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №428;428;школа;;107241, г.Москва, ул. Амурская, д. 60;ВАО;Гольяново;653
796;637;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №430;430;школа;;111674, г. Москва, ул.1-я Вольская, д. 9, к.3;ЮВАО;Некрасовка;470
1110;638;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №433 имени Героя Советского Союза И.И.Якушкина;433;школа;;105118, г.Москва, Соколиной горы 5-я ул., д. 5;ВАО;Соколиная Гора;657
798;639;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №435;435;школа;;105094 г.Москва, ул.Госпитальный вал, д.5, стр 19, 19А;ЦАО;Басманный;31
800;640;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №436;436;школа;;109444, г. Москва, ул. Ферганская, д. 7;ЮВАО;Выхино-Жулебино;438
801;640;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №921;921;школа;;109444, г. Москва, ул. Ферганская, д. 7;ЮВАО;Выхино-Жулебино;438
804;641;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №438;438;школа;;115563 г. Москва, Борисовский пр-д д. 40,к.3;ЮАО;Орехово-Борисово Северное;323
806;642;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №439;439;школа;;109202, г. Москва, ул. Басовская, д. 7;ЮВАО;Нижегородский;454
808;642;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №785;785;школа;;109202, г. Москва, ул. Басовская, д. 7;ЮВАО;Нижегородский;454
809;642;Государственное бюджетное образовательное учреждение города Москвы центр образования №1699;1699;центр образования;;109202, г. Москва, ул. Басовская, д. 7;ЮВАО;Нижегородский;454
810;643;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №443;443;школа;;111123, г.Москва, Шоссе Энтузиастов, д.72;ВАО;Перово;631
812;644;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №445;445;школа;;105037, г.Москва, Первомайская ул., д.27 А;ВАО;Измайлово;833
813;645;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №448;448;школа;;105173, г. Москва, пос. Акулово, д. 43А;ВАО;Восточный;654
815;646;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №45;45;школа;;119048 г.Москва, ул.Усачева, д.66;ЦАО;Хамовники;34
816;647;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №450;450;школа;начальная школа;111401, г.Москва, Владимирская 3-я ул.  Дом-30А;ВАО;Перово;652
1111;648;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №457;457;школа;;109544 г. Москва, ул. Библиотечная , д.29;ЦАО;Таганский;878
817;649;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №460;460;школа;;109559, г. Москва, Белореченская ул., д.11;ЮВАО;Люблино;419
818;650;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №461;461;школа;средняя школа;109443, г. Москва, ул. Зеленодольская, д. 41, корп. 3;ЮВАО;Кузьминки;492
1112;651;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №463 имени Героя Советского Союза Д.Н.Медведева;463;школа;;115470 г.Москва,Судостроительная ул. д.10,к.1;ЮАО;Нагатинский Затон;930
819;652;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №467;467;школа;;109044 г. Москва, ул. 2-ая Дубровская, д.3;ЦАО;Таганский;33
