"OBJECTID";"ID";"NAME";"NUMB";"TYPE";"CURRENT_USE";"CLOSED";"ADDRESS";"OKRUG";"RAYON";"COMPLEX_ID";"RATING"
318;10259,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1782";1782,000000;"прогимназия";"начальная школа";"FALSE";"125310, г. Москва, ул. Барышиха, д. 42, корп. 1";"СЗАО";"Митино";117,000000;0,000000
319;10260,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1819";1819,000000;"прогимназия";"начальная школа";"FALSE";"127572, г. Москва, ул. Абрамцевская, д. 24, корп. 2";"СВАО";"Лианозово";238,000000;0,000000
320;10264,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1752";1752,000000;"прогимназия";"";"FALSE";"107014, г. Москва, ул. Большая  Остроумовская,  дом 7";"ВАО";"Сокольники";906,000000;0,000000
321;10267,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования №1650";1650,000000;"школа";"";"FALSE";"109240, г. Москва, ул. Солянка, дом 14А";"ЦАО";"Таганский";907,000000;0,000000
322;10268,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1121";1121,000000;"школа";"";"FALSE";"127247, г. Москва, Бескудниковский бульвар, дом 50б";"САО";"Бескудниковский";908,000000;0,000000
323;10272,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1914";1914,000000;"школа";"";"FALSE";"111673, г. Москва, ул. Суздальская, д. 12В, стр. 1.";"ВАО";"Новокосино";909,000000;0,000000
324;10281,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1013";1013,000000;"школа";"";"FALSE";"119633 г. Москва, ул. Приречная, д.3";"ЗАО";"Ново-Переделкино";759,000000;0,000000
325;10282,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1025";1025,000000;"школа";"";"FALSE";"111672, г. Москва, ул. Новокосинская,  д.  42А";"ВАО";"Новокосино";818,000000;0,000000
326;10285,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1065";1065,000000;"школа";"";"FALSE";"117624, г.Москва, ул. Скобелевская, дом 28";"ЮЗАО";"Южное Бутово";910,000000;0,000000
327;10291,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1349";1349,000000;"школа";"";"FALSE";"107370, г. Москва, Открытое ш., д.6, стр.12";"ВАО";"Богородское";827,000000;0,000000
328;10294,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1849";1849,000000;"школа";"";"FALSE";"105568, г. Москва, ул. Челябинская, д. 9, стр. 1";"ВАО";"Ивановское";839,000000;0,000000
329;10299,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №239";239,000000;"школа";"";"FALSE";"121353, г.Москва, ул.Вяземская, д. 7";"ЗАО";"Можайский";762,000000;0,000000
330;10309,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №440";440,000000;"школа";"";"FALSE";"105203, г.Москва, Измайловский проспект, дом 115";"ВАО";"Восточное Измайлово";832,000000;0,000000
331;10311,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №473";473,000000;"школа";"";"FALSE";"109429, г. Москва, Капотня, 2-й квартал, д.19 стр.1, стр.2";"ЮВАО";"Капотня";450,000000;0,000000
332;10316,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №539";539,000000;"школа";"";"FALSE";"117246, г.Москва, улица Херсонская, дом 30, корпус 3";"ЮЗАО";"Черёмушки";547,000000;0,000000
333;10320,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №630";630,000000;"школа";"";"FALSE";"117105, Москва, Варшавское шоссе, д.12";"ЮАО";"Донской";847,000000;0,000000
334;10325,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №788";788,000000;"школа";"";"FALSE";"111398, г. Москва, улица Перовская, дом 24, строение 1";"ВАО";"Перово";682,000000;0,000000
