"ID","SHAPE_LENGTH","SHAPE_AREA"
300,1101.110007,59240.049937
301,2755.770155,387300.902023
302,6326.952726,1433420.53828
303,2193.10454,272768.940111
304,1241.228311,100459.560443
305,5213.416223,311475.269397
306,5242.893658,1550756.269382
307,1553.405528,149803.697921
308,988.370438,59191.98728
309,2198.874571,226305.893538
310,7111.365759,1980348.69607
311,4632.424572,620037.925749
312,1356.395545,88911.083694
313,2749.046921,306092.856734
314,995.736528,50510.409576
315,3098.28417,259170.010313
316,3004.910552,200036.954075
317,3129.999896,557569.972805
318,2676.191192,462585.344037
319,3922.799109,512938.631233
320,4733.559532,787103.392561
321,2583.528891,268516.277735
322,1932.279303,203074.619809
323,4345.146164,1086238.483012
324,4027.88862,560373.129791
325,4405.536299,785675.453068
326,3575.881942,555757.517145
327,6547.465851,1070370.987602
328,2591.135363,167137.643813
329,1923.629974,219810.396205
330,3603.034594,759976.985817
331,2929.565643,457505.840298
332,6146.942399,2245892.577802
333,7886.346713,933262.989485
334,2058.15587,239830.655103
335,2375.26582,234537.577129
336,4484.800372,1108216.755096
337,4528.424424,1092403.244096
338,208.477652,1927.616843
339,3468.485866,540805.239042
340,1646.478139,134898.890786
341,2262.583817,243980.07609
342,928.767967,41374.762776
343,5369.551518,1467532.632762
344,3536.484462,692714.579714
345,1944.774274,182904.027958
346,1699.427819,101758.708266
347,2233.594063,295375.798198
348,3376.86058,719601.561127
349,184.169829,2079.654741
350,2694.182916,463781.060433
351,5750.604088,808539.421787
352,2513.960683,420438.200738
353,2444.827565,348993.341636
354,4745.284066,1304487.827478
355,8015.701659,1996574.273203
356,8745.244409,2045527.497607
357,1769.614148,178380.82313
358,4224.469594,948094.237896
359,481.714654,12237.920765
360,3226.347513,494685.319247
361,6356.303219,1506168.436408
362,3161.495672,290432.926493
363,2228.805929,241856.13162
364,1361.707104,57199.099819
365,4927.762519,867378.994638
366,5892.799857,1005087.129998
367,3180.103291,530787.322877
368,4259.376491,736244.942046
369,9167.269962,1708271.627241
370,1623.63669,118825.829018
371,2488.643786,231966.016324
372,95.429482,458.015629
373,2002.604397,177454.647802
374,1833.05515,119473.961321
375,4934.130014,517152.130192
376,4143.91688,952260.066013
377,2947.525002,537713.998104
378,3099.009723,395362.495398
379,1497.463976,127938.431161
380,3925.559846,919896.759954
381,1399.338713,97801.316924
382,4743.296173,767954.529868
383,4313.561817,1086747.53137
384,2748.058097,380058.102629
385,2585.6633,200336.633587
386,4021.107875,342254.808269
387,4349.44609,1169458.384128
388,2722.941245,144202.186179
389,2135.788092,159128.389411
390,3639.591279,514116.357859
391,8099.372823,1495527.670448
392,5945.030049,1377834.244047
393,3617.95169,323329.684166
394,4441.256311,1245118.743065
395,7325.421071,1181202.901308
396,5385.798894,897385.279999
397,4586.889429,836815.157763
398,7725.246565,1411744.661641
399,6176.860164,1392162.95922
400,4830.29317,1201923.527124
401,4588.037786,534717.886045
402,4821.219341,1148501.065901
403,3959.315812,411533.662068
