"OBJECTID";"ID";"NAME";"NUMB";"TYPE";"CURRENT_USE";"CLOSED";"ADDRESS";"OKRUG";"RAYON";"COMPLEX_ID";"RATING";"POINT_X";"POINT_Y"
46;10129,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1540";1540,000000;"гимназия";"средняя школа";"FALSE";"103055 г. Москва, Новослободская ул., д.57, стр.1";"ЦАО";"Тверской";37,000000;0,000000;37,592257;55,786915
47;10130,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1541";1541,000000;"гимназия";"";"FALSE";"119415 г. Москва, пр. Вернадского, д. 55";"ЗАО";"Проспект Вернадского";718,000000;156,000000;37,505007;55,672167
48;10131,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1542";1542,000000;"гимназия";"средняя школа";"FALSE";"119620, г. Москва, ул. Авиаторов, дом 8, корпус 2";"ЗАО";"Солнцево";779,000000;58,000000;37,399572;55,646767
49;10132,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1544";1544,000000;"гимназия";"средняя школа";"FALSE";"125222, г. Москва, ул. Пенягинская, д. 14";"СЗАО";"Митино";107,000000;124,000000;37,359653;55,836099
50;10135,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №677";677,000000;"школа";"средняя школа";"FALSE";"125364, г. Москва, ул. Свободы, д. 42, корп. 2";"СЗАО";"Южное Тушино";79,000000;0,000000;37,449346;55,845402
51;10133,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №828";828,000000;"школа";"начальная школа";"FALSE";"125364, г. Москва, ул. Свободы, д. 42, корп. 2";"СЗАО";"Южное Тушино";79,000000;0,000000;37,450704;55,846031
52;10134,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1551";1551,000000;"гимназия";"средняя школа";"FALSE";"125364, г. Москва, ул. Свободы, д. 42, корп. 2";"СЗАО";"Южное Тушино";79,000000;60,000000;37,456187;55,846654
53;10137,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1558 имени Росалии де Кастро";1558,000000;"гимназия";"";"FALSE";"129327,  Москва, Чукотский проезд, д. 6";"СВАО";"Бабушкинский";259,000000;97,000000;37,654054;55,868199
54;10138,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1967";1967,000000;"школа";"1 - 6 классы";"FALSE";"109341, г.Москва, ул. Братиславская, дом 4";"ЮВАО";"Марьино";433,000000;0,000000;37,750711;55,662993
55;10139,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1562 имени Артема Боровика";1562,000000;"гимназия";"1 - 9 классы";"FALSE";"109341, г.Москва, ул. Братиславская, дом 4";"ЮВАО";"Марьино";433,000000;34,000000;37,751241;55,665443
56;10140,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1565 «Свиблово»";1565,000000;"гимназия";"средняя школа";"FALSE";"129323, г. Москва, ул. Седова, д. 4, корп. 1";"СВАО";"Свиблово";293,000000;94,000000;37,642182;55,852872
57;10141,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1566";1566,000000;"гимназия";"";"FALSE";"109652, г. Москва, Мячковский бульвар, дом 14, к. 3";"ЮВАО";"Марьино";459,000000;375,000000;37,754603;55,651170
58;10145,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1570";1570,000000;"гимназия";"средняя школа";"FALSE";"125040, г. Москва, 5-я улица Ямского поля, д. 28/32";"САО";"Беговой";175,000000;0,000000;37,576927;55,789210
59;10146,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1572";1572,000000;"гимназия";"";"FALSE";"127018, г.Москва, Октябрьский пер., д.11";"СВАО";"Марьина Роща";311,000000;0,000000;37,610008;55,786661
60;10147,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1573";1573,000000;"гимназия";"";"FALSE";"127253, г. Москва, ул. Псковская, д.11";"СВАО";"Лианозово";238,000000;196,000000;37,552777;55,906675
61;10148,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1576";1576,000000;"гимназия";"";"FALSE";"125299, г. Москва, ул. Большая Академическая, д.22-А";"САО";"Коптево";177,000000;26,000000;37,529302;55,822928
62;10149,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1577";1577,000000;"гимназия";"";"FALSE";"129337, г. Москва, Ярославское шоссе, дом ( владение) 8, корп. 6";"СВАО";"Ярославский";240,000000;296,000000;37,690459;55,852786
63;10150,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1579";1579,000000;"гимназия";"";"FALSE";"115409 г. Москва, Пролетарский пр-кт, д.7 к.3";"ЮАО";"Москворечье-Сабурово";383,000000;150,000000;37,659254;55,646582
64;10151,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1582";1582,000000;"гимназия";"начальная школа";"FALSE";"117587 г. Москва,ул. Кировоградская,д.18,к.4";"ЮАО";"Чертаново Центральное";384,000000;0,000000;37,597088;55,619924
65;10152,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1582";1582,000000;"гимназия";"средняя школа";"FALSE";"117587 г. Москва,ул. Кировоградская,д.18,к.4";"ЮАО";"Чертаново Центральное";384,000000;96,000000;37,601139;55,617914
