"OBJECTID","OBJECTID_OLD","ID","NAME","NUMB","TYPE","CLOSED","ADDRESS","OKRUG","RAYON","COMPLEX_ID","RATING","CATCHEMENT_AREA_STUDENTS"
1092,1433,11193,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1415",1415,"школа",FALSE,"129515, г. Москва, 1-я Останкинская улица, дом 29","СВАО","Останкинский",254,306,991.256953
1093,1434,11194,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №655",655,"школа",FALSE,"127576 г. Москва, ул. Новгородская, д. 8","СВАО","Лианозово",235,,0
1094,1435,11195,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1416",1416,"школа",FALSE,"127576 г. Москва, ул. Новгородская, д. 8","СВАО","Лианозово",235,141,993.30481
1095,1438,11196,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1944",1944,"школа",FALSE,"125368, г. Москва, ул. Барышиха, д. 17, корп. 1","СЗАО","Митино",106,24,450.408201
1097,1442,11197,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка и музыки №368 «Лосиный остров»",368,"школа",FALSE,"107065  Москва,  ул. Уссурийская, дом 12","ВАО","Гольяново",659,171,5368.120491
1340,1768,11199,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением биологии и химии №1344",1344,"школа",FALSE,"109472, г. Москва, ул. Чугунные ворота, дом 11","ЮВАО","Выхино-Жулебино",441,,3910.576003
1341,1769,11200,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением восточных языков №2042 имени Лазаревых",2042,"школа",FALSE,"117303, г.Москва, ул. Одесская, дом 16, корп. 2","ЮЗАО","Зюзино",939,,3812.763206
1098,1443,11201,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением естественных наук №1376",1376,"школа",FALSE,"119634 г. Москва, улица Лукинская , дом № 12, корпус 1.","ЗАО","Ново-Переделкино",737,,4974.904688
1099,1444,11202,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением изобразительного искусства №1188",1188,"школа",FALSE,"129346, г.Москва, ул. 1-я Напрудная, д.13","СВАО","Лосиноостровский",309,137,0
1102,1451,11203,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №575",575,"школа",FALSE,"115582 г. Москва, ул. Домодедовская, д. 24, корп. 7","ЮАО","Орехово-Борисово Южное",346,,0
1100,1446,11204,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №832",832,"школа",FALSE,"115582 г. Москва, ул. Домодедовская, д. 24, корп. 7","ЮАО","Орехово-Борисово Южное",346,,0
1101,1448,11205,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка №1207",1207,"школа",FALSE,"115582 г. Москва, ул. Домодедовская, д. 24, корп. 7","ЮАО","Орехово-Борисово Южное",346,345,1023.157418
1104,1455,11206,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1171",1171,"школа",FALSE,"117534 г. Москва, Кировоградская ул. д.42. к.2","ЮАО","Чертаново Южное",347,,0
1103,1454,11207,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка №1245",1245,"школа",FALSE,"117534 г. Москва, Кировоградская ул. д.42. к.2","ЮАО","Чертаново Южное",347,209,1677.863123
1107,1462,11208,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углублённым изучением английского и французского языков №1218",1218,"школа",FALSE,"129110 г. Москва, Глинистый пер., д. 7, стр.1","ЦАО","Мещанский",22,,0
1106,1458,11209,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №292",292,"школа",FALSE,"129110 г. Москва, Глинистый пер., д. 7, стр.1","ЦАО","Мещанский",22,,0
1105,1457,11210,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка №1297",1297,"школа",FALSE,"129110 г. Москва, Глинистый пер., д. 7, стр.1","ЦАО","Мещанский",22,,11177.605601
1108,1463,11211,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского)языка №1241",1241,"школа",FALSE,"123022 г.Москва, Б.Трехгорный пер., д.3","ЦАО","Пресненский",49,,2239.815434
1109,1464,11212,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1215 имени Ромена Роллана",1215,"школа",FALSE,"129110 г.Москва, Больничный пер., д.4","ЦАО","Мещанский",35,,7295.990311
1110,1467,11213,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1231 имени В.Д.Поленова",1231,"школа",FALSE,"119002 г.Москва, Спасопесковский пер., д.6, стр.7","ЦАО","Арбат",20,241,749.821328
