OBJECTID,SCHOOL_ID,SCHOOL_BLOCK_ID,FEATURE_ID,ORIG_FID,Shape_Length,Shape_Area
43724,10227,227,43724,43724,34668.636641,139805.659939
43725,10227,227,43725,43725,34572.564423,161443.799012
43726,10227,227,43726,43726,34572.361851,48044.296
43727,10227,227,43727,43727,32112.899207,98030.945474
43728,10227,227,43728,43728,32112.767941,39109.374078
43729,10227,227,43729,43729,32605.606676,18502.438724
43730,10227,227,43730,43730,32605.609096,23410.473089
43731,10227,227,43731,43731,30888.28949,21091.961743
43732,10227,227,43732,43732,34467.019229,39188.386143
43733,10227,227,43733,43733,34467.091126,142048.532691
43734,10227,227,43734,43734,30554.530871,81504.805193
43735,10227,227,43735,43735,31232.012193,142384.838402
43736,10227,227,43736,43736,31231.665351,3200.304753
43737,10227,227,43737,43737,34415.030204,16578.270663
43738,10227,227,43738,43738,34415.089541,16810.110253
43739,10227,227,43739,43739,34351.931447,34738.294872
43740,10227,227,43740,43740,34289.800919,29552.502028
43741,10227,227,43741,43741,34227.118178,170826.336384
43742,10227,227,43742,43742,30766.903781,118636.954609
43743,10227,227,43743,43743,33909.505524,79570.722082
43744,10227,227,43744,43744,33909.505083,80820.117631
43745,10227,227,43745,43745,31533.32101,44775.34147
43746,10227,227,43746,43746,31533.491469,130036.733095
43747,10227,227,43747,43747,32036.610047,88342.915894
43748,10227,227,43748,43748,32037.197751,179391.883347
43749,10227,227,43749,43749,31387.63483,325082.758895
43750,10227,227,43750,43750,31375.161373,7068.956487
43751,10227,227,43751,43751,32097.004396,91900.745836
43752,10227,227,43752,43752,33821.705613,111729.51626
43753,10227,227,43753,43753,33821.599106,3168.09514
43754,10227,227,43754,43754,32261.73461,9882.111932
43755,10227,227,43755,43755,32261.801901,65814.984964
43756,10227,227,43756,43756,31519.579059,135013.436976
43757,10227,227,43757,43757,32029.87725,220233.426283
43758,10227,227,43758,43758,32028.374297,2588.090488
43759,10227,227,43759,43759,32027.001648,14207.316324
43760,10227,227,43760,43760,32027.003961,14719.389192
43761,10227,227,43761,43761,31257.832736,774.248299
43762,10227,227,43762,43762,31281.747339,330436.67889
43763,10227,227,43763,43763,32373.407775,53752.607895
43764,10227,227,43764,43764,32373.370243,5600.700564
43765,10227,227,43765,43765,32088.21261,106656.006701
43766,10227,227,43766,43766,31135.684501,474480.927156
43767,10227,227,43767,43767,31281.06159,36621.262286
43768,10227,227,43768,43768,31520.908444,136874.361115
43769,10227,227,43769,43769,31583.362346,1095992.76374
43770,10227,227,43770,43770,31302.669644,343141.385978
43771,10227,227,43771,43771,32035.318962,203470.700946
43772,10227,227,43772,43772,32034.573441,65936.41501
43773,10227,227,43773,43773,30600.246213,47450.547516
43774,10227,227,43774,43774,30758.988107,1110078.733369
43775,10227,227,43775,43775,30654.57483,853101.870952
43776,10227,227,43776,43776,30206.397817,20145.662038
43785,10227,227,43785,43785,42918.439616,39754.659389
43786,10227,227,43786,43786,42929.142701,965932.744032
43787,10227,227,43787,43787,42162.673597,302022.164593
43788,10227,227,43788,43788,42942.257992,465262.426666
43789,10227,227,43789,43789,42955.47322,948050.977286
43790,10227,227,43790,43790,42903.882679,83559.025155
43791,10227,227,43791,43791,42915.93907,767381.011593
43792,10227,227,43792,43792,42492.230422,235857.97472
44021,10228,228,44021,44021,35318.555655,13768301.724873
44022,10228,228,44022,44022,34184.472131,199309.747199
44023,10228,228,44023,44023,34026.296783,1301046.575574
44024,10228,228,44024,44024,34001.863364,688304.78511
44025,10228,228,44025,44025,33604.653104,329223.586825
44026,10228,228,44026,44026,33844.060956,1262609.9865
44027,10228,228,44027,44027,35257.530492,198032.872791
44028,10228,228,44028,44028,35264.67106,578657.096347
44029,10228,228,44029,44029,35892.898838,489416.816595
