"ID","NAME","NUMB","WEBSITE","TYPE","OKRUG","FOUNDATION","SCHOOLS_COUNT","STEP1","STEP2","STEP3","STUDENTS","STUDENTS_PER_SCHOOL","ASSIGNMENT_AREA_STUDENTS","ASSIGNMENT_AREA_STUDENTS_INTENDED"
174,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №929",929,"http://sch929.mskobr.ru/","школа","Северный административный округ","присоединение",2,453,517,105,1075,537.5,2789.818315,2789.818315
175,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1570",1570,"http://gym1570s.mskobr.ru/","гимназия","Северный административный округ","присоединение",2,289,330,95,714,357,3963.532432,1220.6441376667
176,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №717",717,"http://sch717s.mskobr.ru/","школа","Северный административный округ","присоединение",3,626,578,120,1324,441.3333333333,3696.371184,1232.123728
177,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1576",1576,"http://gym1576s.mskobr.ru/","гимназия","Северный административный округ","присоединение",6,1386,1769,424,3579,596.5,9107.414578,3711.164529
178,"Государственное бюджетное образовательное учреждение города Москвы лицей №1550",1550,"http://lyc1550.mskobr.ru/","лицей","Северный административный округ","присоединение",2,131,269,212,612,306,1169.697189,896.3141595
179,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2098 имени Героя Советского Союза Л.М. Доватора",2098,"http://sch2098s.mskobr.ru/","школа","Северный административный округ","слияние",2,1346,1391,296,3033,1516.5,4828.196098,2414.098049
180,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2100",2100,"http://sch2100.mskobr.ru/","школа","Северный административный округ","слияние",3,691,697,126,1514,504.6666666667,7337.202696,2445.734232
181,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1794",1794,"http://sch1794s.mskobr.ru/","школа","Северный административный округ","слияние",5,848,1038,238,2124,424.8,7361.761243,3826.922434
182,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1590 имени Героя Советского Союза В.В. Колесника ",1590,"http://gym1590s.mskobr.ru/","гимназия","Северный административный округ","слияние",2,493,522,138,1153,576.5,2913.117285,1212.5829911667
183,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №771",771,"http://sch771s.mskobr.ru/","школа","Северный административный округ","слияние",3,662,666,146,1474,491.3333333333,4307.721092,2153.860546
