"ID","SCHOOL_ID","NAME","NUMB","CURRENT_USE","ADDRESS","OKRUG","RAYON","POINT_X","POINT_Y"
236,10236,"Государственное бюджетное образовательное учреждение города Москвы центр образования №1451",1451,"средняя школа","115191 г. Москва, ул. Мытная, дом 50 корпус 3","ЮАО","Даниловский",37.616607,55.718614
237,10237,"Государственное бюджетное образовательное учреждение города Москвы лицей №1550",1550,"средняя школа","125284 г. Москва, ул. Беговая, д. 19","САО","Беговой",37.559719,55.782406
238,10238,"Государственное бюджетное образовательное учреждение города Москвы центр образования №1472",1472,"начальная школа","115446 г. Москва, Садовники д.12","ЮАО","Нагатино-Садовники",37.653728,55.668738
239,10238,"Государственное бюджетное образовательное учреждение города Москвы центр образования №1472",1472,"средняя школа","115446 г. Москва, Садовники д.12","ЮАО","Нагатино-Садовники",37.654025,55.665664
240,10240,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №507",507,"средняя школа","115446 г. Москва, Садовники д.12","ЮАО","Нагатино-Садовники",37.657402,55.672613
241,10241,"Государственное бюджетное образовательное учреждение города Москвы лицей №1537 информационных технологий",1537,"","129347, г. Москва, ул. Проходчиков, д.9","СВАО","Ярославский",37.719088,55.874383
242,10242,"Государственное бюджетное образовательное учреждение города Москвы лицей №1501 «Многопрофильный технический лицей»",1501,"средняя школа","127055 г. Москва, Тихвинский пер., д. 3","ЦАО","Тверской",37.595734,55.787712
243,10243,"Государственное бюджетное образовательное учреждение города Москвы гимназия «Московская международная гимназия»",,"","111123, Москва,  3-я Владимирская улица  дом 5","ВАО","Перово",37.786712,55.76233
244,10243,"Государственное бюджетное образовательное учреждение города Москвы гимназия «Московская международная гимназия»",,"","111123, Москва,  3-я Владимирская улица  дом 5","ВАО","Перово",37.801192,55.756024
245,10002,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1718",1718,"1, 4 классы","105425, г. Москва, ул. Константина Федина, д.14","ВАО","Северное Измайлово",37.796661,55.806174
246,10246,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1611",1611,"начальная школа","127591, г. Москва, ул 800-летия Москвы, дом 5, корпус 2","САО","Восточное Дегунино",37.553359,55.880986
247,10247,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1642",1642,"начальная школа","111250, г.Москва, ул. Солдатская, д. 12а","ЮВАО","Лефортово",37.703448,55.763365
