ID;NAME;COMPLEX_ID;NUMB;TYPE
1972;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1657;556;1657;
2750;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1810;795;1810;
2473;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1886;699;1886;
2738;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1890;808;1890;
1549;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1892;430;1892;
2752;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1639;797;1639;
1485;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1645;415;1645;
2084;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1676;585;1676;
1787;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1760;490;1760;
1575;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1761;436;1761;
1675;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1772;462;1772;
1551;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1883;431;1883;
2667;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1889;759;1889;
287;Государственное бюджетное образовательное учреждение города Москвы прогимназия №130;78;130;
546;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1611 ;170;1611;
278;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1622;124;1622;
773;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1627;291;1627;
1743;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1642;479;1642;
327;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1651;91;1651;
619;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1661;183;1661;
2740;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1667;783;1667;
777;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1709;291;1709;
2741;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1717;783;1717;
2400;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1718;685;1718;
2727;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1728 ;779;1728;
1998;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1733;565;1733;
2346;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1749;669;1749;
2396;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1753;684;1753;
2534;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1754;718;1754;
53;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1755;21;1755;
771;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1756;226;1756;
394;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1764 ;111;1764;
