"ID","WALKING_DURATION_215","WALKING_DISTANCE_215"
"1171","2756","3825"
"1172","2787","3862"
"1173","2741","3801"
"1174","2865","3961"
"1175","2877","3977"
"1176","2845","3931"
"1177","2907","4086"
"1178","2880","4045"
"1179","2840","3988"
"1180","2889","4052"
"1181","2675","3755"
"1182","2642","3706"
"1183","2817","3952"
"1184","3344","4714"
"1185","3311","4653"
"1186","3222","4520"
"1187","3204","4496"
"1188","3202","4486"
"1189","3066","4294"
"1190","3153","4418"
"1191","3005","4203"
"1192","3047","4257"
"1193","2928","4096"
"1194","3035","4236"
"1195","3001","4182"
"1196","3333","4684"
"1197","3404","4776"
"1198","2937","4091"
"1199","2983","4146"
"1200","2869","3987"
"1201","2797","3901"
"1202","2755","3830"
"1203","2792","3877"
"1204","2698","3757"
"1205","3372","4747"
"1206","2769","3843"
"1207","2639","3673"
"1208","2657","3696"
"1209","2660","3680"
"1210","2578","3561"
"1211","2587","3596"
"1212","2538","3517"
"1213","3254","4580"
"1214","3272","4592"
"1215","2496","3447"
"1216","2496","3448"
"1217","2427","3358"
"1218","2446","3382"
"1219","2476","3426"
"1220","2422","3350"
"1221","2415","3326"
"1222","2450","3377"
"1223","2309","3202"
"1224","2267","3139"
"1225","2188","3029"
"1226","2165","3005"
"1227","3228","4532"
"1228","3329","4669"
"1229","2129","2954"
"1230","2065","2863"
"1231","2069","2865"
"1232","1999","2787"
"1233","3321","4670"
"1234","1970","2723"
"1235","2037","2835"
"1236","1903","2629"
"1237","1888","2626"
"1238","1895","2617"
"1239","1858","2581"
"1240","1796","2482"
"1241","1828","2537"
"1242","3179","4469"
"1243","1789","2472"
"1244","1711","2365"
"1245","1748","2415"
"1246","3171","4409"
"1247","3126","4346"
"1248","3083","4286"
"1249","3006","4180"
"1250","2903","4038"
"1251","2355","3290"
"1252","2257","3162"
"1253","2208","3094"
"1254","2184","3043"
"1255","2147","2989"
"1256","2009","2789"
"1257","2050","2843"
"1258","2037","2823"
"1259","1932","2679"
"1260","1979","2740"
"1261","1687","2328"
"1262","1577","2168"
"1263","1575","2160"
"1264","1615","2213"
"1265","1670","2287"
"1266","1333","1840"
"1267","1490","2043"
"1268","1553","2130"
"1269","1407","1939"
"1270","2625","3654"
"1271","2603","3624"
"1272","2678","3728"
"1273","2792","3881"
"1274","2743","3807"
"1275","2696","3748"
"1276","1262","1744"
"1277","1172","1611"
"1278","3037","4213"
"1279","3043","4227"
"1280","2501","3488"
"1281","2401","3358"
"1282","1796","2489"
"1283","1765","2447"
"1284","1766","2450"
"1285","2410","3372"
"1286","2566","3562"
"1287","2569","3565"
"1288","2644","3660"
"1289","2645","3661"
"1290","2444","3410"
"1291","2413","3372"
"1292","2433","3395"
"1293","2485","3464"
"1294","2561","3569"
"1295","2450","3418"
