"ID","WALKING_DURATION_1","WALKING_DISTANCE_1","WALKING_DURATION_2","WALKING_DISTANCE_2","WALKING_DURATION_3","WALKING_DISTANCE_3","WALKING_DURATION_4","WALKING_DISTANCE_4","WALKING_DURATION_5","WALKING_DISTANCE_5"
"1758","807","1092","402","544","320","393","577","756","965","1246"
"1759","842","1161","438","614","448","616","794","1070","1088","1470"
"1760","167","225","666","917","933","1274","1306","1803","1042","1428"
"1761","504","700","190","275","498","691","830","1161","867","1165"
"1762","527","724","144","204","452","621","784","1091","924","1235"
"1763","595","813","83","115","391","532","723","1001","908","1214"
"1764","580","792","98","136","406","553","738","1022","923","1235"
"1765","665","911","200","281","276","374","661","918","898","1205"
"1766","306","423","643","892","910","1250","1283","1778","1124","1525"
"1767","348","483","685","951","952","1309","1325","1837","1166","1584"
"1768","297","417","729","1019","997","1376","1369","1904","1211","1652"
"1769","288","411","792","1112","1059","1469","1432","1997","1274","1745"
"1770","665","911","200","281","276","374","661","918","898","1205"
"1771","665","911","200","281","276","374","661","918","898","1205"
"1772","665","911","200","281","276","374","661","918","898","1205"
"1773","694","956","231","327","236","322","622","866","876","1175"
"1774","805","1108","342","478","278","378","664","922","918","1232"
"1775","160","209","612","836","879","1193","1252","1722","1086","1460"
"1776","154","205","651","896","918","1253","1291","1781","1099","1499"
"1777","195","261","611","840","878","1197","1251","1726","1084","1464"
"1778","204","271","606","829","873","1187","1246","1715","1079","1453"
"1779","344","483","366","519","633","876","1006","1404","847","1152"
"1780","364","513","386","549","653","906","1026","1434","867","1182"
"1781","364","513","386","549","653","906","1026","1434","867","1182"
"1782","385","544","265","385","533","742","905","1270","887","1200"
"1783","303","423","646","901","913","1258","1286","1786","1127","1534"
"1784","268","373","604","842","871","1199","1244","1728","1085","1475"
"1785","2016","2793","1947","2689","1768","2431","1949","2717","2413","3285"
"1786","268","374","605","844","872","1201","1245","1729","1086","1476"
"1787","1995","2764","1927","2660","1748","2402","1929","2688","2393","3255"
"1788","1995","2764","1927","2660","1748","2402","1929","2688","2393","3255"
"1789","344","483","366","519","633","876","1006","1404","847","1152"
"1790","364","513","386","549","653","906","1026","1434","867","1182"
"1791","644","895","385","545","560","778","946","1322","1095","1482"
"1792","644","895","385","545","560","778","946","1322","1095","1482"
"1793","224","307","560","777","828","1134","1200","1662","1042","1410"
"1794","240","341","708","991","976","1349","1348","1877","1190","1624"
"1795","240","343","745","1044","1012","1401","1385","1930","1226","1677"
"1796","364","513","386","549","653","906","1026","1434","867","1182"
"1797","211","278","496","680","764","1037","1136","1566","984","1322"
"1798","267","360","640","879","907","1236","1280","1764","1113","1502"
"1799","633","879","374","529","549","762","935","1306","1084","1466"
"1800","264","357","477","654","744","1011","1117","1539","950","1277"
"1801","289","393","544","749","812","1106","1184","1635","1001","1349"
"1802","508","700","249","349","475","653","848","1181","959","1286"
"2048","1100","1488","903","1214","778","1046","1107","1511","167","232"
"2049","996","1348","963","1316","897","1217","1226","1682","284","402"
"2050","1086","1470","1010","1366","886","1199","1214","1664","206","290"
"2051","1157","1569","939","1268","814","1100","1143","1565","134","191"
"2052","1050","1419","905","1232","846","1143","1175","1608","226","318"
"2053","1086","1470","1010","1366","886","1199","1214","1664","206","290"
"2054","1028","1382","830","1107","705","940","1034","1405","248","338"
"2055","1100","1488","903","1214","778","1046","1107","1511","167","232"
"2407","2030","2753","1753","2383","1489","2037","1668","2294","1387","1882"
"2416","1896","2580","1642","2223","1480","2015","1659","2272","1253","1709"
"2417","1682","2275","1429","1918","1288","1748","1467","2005","1039","1404"
