"ID","WALKING_DURATION","WALKING_DISTANCE"
"1121","3087","4178"
"1122","3154","4271"
"1123","3143","4258"
"1124","3007","4067"
"1125","3123","4236"
"1126","3045","4128"
"1127","3646","4941"
"1128","3642","4938"
"1129","3718","5046"
"1130","3992","5498"
"1131","4047","5577"
"1132","4088","5650"
"1133","3758","5162"
"1134","3810","5230"
"1135","3614","4955"
"1136","3736","5130"
"1137","3756","5156"
"1138","3351","4568"
"1139","3315","4535"
"1140","3823","5242"
"1141","3825","5242"
"1142","3932","5387"
"1143","3814","5231"
"1144","3275","4460"
"1145","3292","4484"
"1146","3260","4455"
"1147","3643","4990"
"1148","3864","5294"
"1149","3721","5090"
"1150","3243","4412"
"1151","3627","4956"
"1152","3664","5003"
"1153","3682","5029"
"1154","3936","5431"
"1155","3190","4336"
"1156","3558","4857"
"1157","3596","4901"
"1158","3615","4927"
"1159","3190","4332"
"1160","3123","4233"
"1161","3406","4642"
"1162","3401","4635"
"1163","3104","4202"
"1164","3144","4257"
"1165","3336","4542"
"1166","3375","4598"
"1167","3375","4599"
"1168","3355","4571"
"1169","3979","5480"
"1170","3238","4408"
"1171","3452","4698"
"1172","3301","4484"
"1173","3256","4423"
"1174","3198","4336"
"1175","3210","4352"
"1176","3179","4306"
"1177","3951","5441"
"1178","3924","5401"
"1179","3884","5343"
"1180","3933","5407"
"1181","3730","5139"
"1182","3697","5090"
"1183","3861","5307"
"1184","4453","6145"
"1185","4420","6084"
"1186","4331","5952"
"1187","4313","5927"
"1188","4311","5917"
"1189","4118","5675"
"1190","4262","5849"
"1191","4057","5584"
"1192","4156","5688"
"1193","4037","5528"
"1194","4144","5667"
"1195","4110","5613"
"1196","4442","6115"
"1197","4513","6207"
"1198","4047","5522"
"1199","4092","5577"
"1200","3978","5418"
"1201","3906","5332"
"1202","3845","5258"
"1203","3901","5308"
"1204","3788","5185"
"1205","4481","6178"
"1206","3878","5274"
"1207","3748","5104"
"1208","3740","5112"
"1209","3769","5111"
"1210","3688","4993"
"1211","3671","5013"
"1212","3647","4948"
"1213","4363","6011"
"1214","4381","6023"
"1215","3605","4888"
"1216","3605","4879"
"1217","3537","4789"
"1218","3555","4823"
"1219","3586","4857"
"1220","3531","4781"
"1221","3501","4738"
"1222","3536","4789"
"1223","3418","4633"
"1224","3380","4577"
"1225","3301","4467"
"1226","3281","4448"
"1227","4338","5963"
"1228","4438","6100"
"1229","3244","4397"
"1230","3269","4440"
"1231","3273","4442"
"1232","3203","4362"
"1233","4431","6101"
"1234","3144","4270"
"1235","3240","4410"
"1236","3077","4176"
"1237","3092","4201"
"1238","3098","4192"
"1239","3061","4156"
"1240","2999","4056"
"1241","3031","4112"
"1242","4289","5900"
"1243","2992","4047"
"1244","2914","3940"
"1245","2951","3990"
"1246","3789","5173"
"1247","3796","5183"
"1248","3753","5122"
"1249","3708","5062"
"1250","3775","5155"
"1251","3186","4357"
"1252","3267","4474"
"1253","3219","4406"
"1254","3250","4436"
"1255","3213","4382"
"1256","3100","4206"
"1257","3140","4260"
"1258","3127","4240"
"1259","2995","4070"
"1260","3042","4131"
"1261","2686","3616"
