OBJECTID;ADDRESS;settlement;street;building_n;geocoded;ID;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
4738;Москва, Большой Дровяной пер, д.9; ; ; ;Россия, Москва, Большой Дровяной переулок, 9;12193;37.656784;55.744343;2105;0.00133;37.656554;55.743033
4739;Москва, Большой Дровяной пер, д.9, стр.1; ; ; ;Россия, Москва, Большой Дровяной переулок, 9с1;12194;37.657295;55.744631;2105;0.001762;37.656554;55.743033
4740;Москва, Большой Дровяной пер, д.9, стр.3; ; ; ;Россия, Москва, Большой Дровяной переулок, 9с3;12195;37.65717;55.744768;2105;0.001842;37.656554;55.743033
4741;Москва, Большой Рогожский пер, д.10, корп.1; ; ; ;Россия, Москва, Большой Рогожский переулок, 10к1;12196;37.66847;55.742477;1964;0.001305;37.66816;55.74121
4742;Москва, Большой Рогожский пер, д.10, корп.2; ; ; ;Россия, Москва, Большой Рогожский переулок, 10к2;12197;37.667626;55.742027;1964;0.000976;37.66816;55.74121
4743;Москва, Большой Рогожский пер, д.10, корп.3; ; ; ;Россия, Москва, Большой Рогожский переулок, 10к3;12198;37.667482;55.741641;1964;0.000803;37.66816;55.74121
4744;Москва, Большой Рогожский пер, д.12; ; ; ;Россия, Москва, Большой Рогожский переулок, 12;12199;37.668802;55.742899;1964;0.001807;37.66816;55.74121
4745;Москва, Большой Рогожский пер, д.15; ; ; ;Россия, Москва, Большой Рогожский переулок, 15;12200;37.667221;55.742651;1964;0.001719;37.66816;55.74121
4746;Москва, Большой Рогожский пер, д.5, корп.1; ; ; ;Россия, Москва, Большой Рогожский переулок, 5к1;12201;37.666035;55.74192;1964;0.002239;37.66816;55.74121
4747;Москва, Большой Рогожский пер, д.5, корп.2; ; ; ;Россия, Москва, Большой Рогожский переулок, 5к2;12202;37.66582;55.742179;1529;0.002019;37.664809;55.743927
4748;Москва, Большой Рогожский пер, д.7; ; ; ;Россия, Москва, Большой Рогожский переулок, 7;12203;37.66636;55.742188;1964;0.002049;37.66816;55.74121
4749;Москва, Большой Факельный пер, д.1; ; ; ;Россия, Москва, Большой Факельный переулок, 1;12204;37.662685;55.743187;1529;0.002247;37.664809;55.743927
4750;Москва, Большой Факельный пер, д.12; ; ; ;Россия, Москва, Большой Факельный переулок, 12;12205;37.663916;55.741565;1529;0.002524;37.664809;55.743927
4751;Москва, Большой Факельный пер, д.18, стр.1; ; ; ;Россия, Москва, Большой Факельный переулок, 18с1;12206;37.664436;55.741323;1529;0.00263;37.664809;55.743927
4752;Москва, Большой Факельный пер, д.18, стр.2; ; ; ;Россия, Москва, Большой Факельный переулок, 18с2;12207;37.664213;55.741014;1529;0.002973;37.664809;55.743927
4753;Москва, Большой Факельный пер, д.2/22; ; ; ;Россия, Москва, Большой Факельный переулок, 2/22;12208;37.661903;55.743009;1529;0.003046;37.664809;55.743927
4754;Москва, Большой Факельный пер, д.21; ; ; ;Россия, Москва, Большой Факельный переулок, 21;12209;37.666404;55.741247;1964;0.001755;37.66816;55.74121
4755;Москва, Большой Факельный пер, д.22; ; ; ;Россия, Москва, Большой Факельный переулок, 22;12210;37.665264;55.740587;1964;0.002962;37.66816;55.74121
4756;Москва, Большой Факельный пер, д.24; ; ; ;Россия, Москва, Большой Факельный переулок, 24;12211;37.666449;55.740618;1964;0.001809;37.66816;55.74121
4757;Москва, Большой Факельный пер, д.24, стр.2; ; ; ;Россия, Москва, Большой Факельный переулок, 24с2;12212;37.667276;55.740213;1964;0.001332;37.66816;55.74121
4758;Москва, Большой Факельный пер, д.24, стр.3; ; ; ;Россия, Москва, Большой Факельный переулок, 24с2;12213;37.667276;55.740213;1964;0.001332;37.66816;55.74121
4759;Москва, Большой Факельный пер, д.3; ; ; ;Россия, Москва, Большой Факельный переулок, 3;12214;37.664284;55.742031;1529;0.001966;37.664809;55.743927
4760;Москва, Большой Факельный пер, д.3, стр.2; ; ; ;Россия, Москва, Большой Факельный переулок, 3с2;12215;37.663691;55.74263;1529;0.001711;37.664809;55.743927
4761;Москва, Большой Факельный пер, д.3, стр.3; ; ; ;Россия, Москва, Большой Факельный переулок, 3с3;12216;37.665353;55.741966;1529;0.002035;37.664809;55.743927
4762;Москва, Большой Факельный пер, д.38А; ; ; ;Россия, Москва, Большой Факельный переулок, 38а;12217;37.669081;55.740612;1964;0.001098;37.66816;55.74121
4763;Москва, Большой Факельный пер, д.6/12; ; ; ;Россия, Москва, Большой Факельный переулок, 6/12;12218;37.662794;55.742397;1529;0.00253;37.664809;55.743927
4764;Москва, Большой Факельный пер, д.8; ; ; ;Россия, Москва, Большой Факельный переулок, 8;12219;37.663269;55.742048;1529;0.002428;37.664809;55.743927
4765;Москва, Большой Факельный пер, д.8, стр.2; ; ; ;Россия, Москва, Большой Факельный переулок, 8;12220;37.663269;55.742048;1529;0.002428;37.664809;55.743927
4766;Москва, Большой Факельный пер, д.9/11; ; ; ;Россия, Москва, Большой Факельный переулок, 9/11;12221;37.665363;55.741515;1529;0.002474;37.664809;55.743927
4767;Москва, Вековая ул, д.1, стр.1; ; ; ;Россия, Москва, Вековая улица, 1с1;12222;37.66954;55.743522;1964;0.002692;37.66816;55.74121
4768;Москва, Вековая ул, д.1, стр.2; ; ; ;Россия, Москва, Вековая улица, 1с1;12223;37.66954;55.743522;1964;0.002692;37.66816;55.74121
4769;Москва, Вековая ул, д.10; ; ; ;Россия, Москва, Вековая улица, 10;12224;37.672756;55.742984;978;0.004648;37.676847;55.745193
4770;Москва, Вековая ул, д.20/13; ; ; ;Россия, Москва, Вековая улица, 20/13;12225;37.673833;55.743415;978;0.003497;37.676847;55.745193
4771;Москва, Вековая ул, д.20А, стр.3; ; ; ;Россия, Москва, Вековая улица, 20ас3;12226;37.674741;55.743146;978;0.002936;37.676847;55.745193
4772;Москва, Вековая ул, д.21, стр.1; ; ; ;Россия, Москва, Вековая улица, 21с1;12227;37.674147;55.743729;978;0.00307;37.676847;55.745193
4773;Москва, Вековая ул, д.5; ; ; ;Россия, Москва, Вековая улица, 5;12228;37.671533;55.743568;1964;0.004116;37.66816;55.74121
4774;Москва, Гжельский пер, д.3; ; ; ;Россия, Москва, Гжельский переулок, 3;12229;37.676079;55.748148;978;0.003052;37.676847;55.745193
4775;Москва, Известковый пер, д.1/4; ; ; ;Россия, Москва, Известковый переулок, 1/4;12230;37.656361;55.745129;2105;0.002104;37.656554;55.743033
4776;Москва, Известковый пер, д.3, стр.1; ; ; ;Россия, Москва, Известковый переулок, 3с2;12231;37.656612;55.744911;2105;0.001878;37.656554;55.743033
4777;Москва, Известковый пер, д.3, стр.3; ; ; ;Россия, Москва, Известковый переулок, 3с2;12232;37.656612;55.744911;2105;0.001878;37.656554;55.743033
4778;Москва, Известковый пер, д.5, стр.1; ; ; ;Россия, Москва, Известковый переулок, 5с1;12233;37.655974;55.744469;2105;0.001549;37.656554;55.743033
4779;Москва, Известковый пер, д.5, стр.2; ; ; ;Россия, Москва, Известковый переулок, 5с2;12234;37.656289;55.744444;2105;0.001435;37.656554;55.743033
4780;Москва, Известковый пер, д.7, стр.1; ; ; ;Россия, Москва, Известковый переулок, 7с1;12235;37.655938;55.744232;2105;0.001347;37.656554;55.743033
4781;Москва, Известковый пер, д.7, стр.2; ; ; ;Россия, Москва, Известковый переулок, 7с2;12236;37.656236;55.744291;2105;0.001298;37.656554;55.743033
4782;Москва, Малая Андроньевская ул, д.15; ; ; ;Россия, Москва, Малая Андроньевская улица, 15;12237;37.674183;55.74305;978;0.003417;37.676847;55.745193
4783;Москва, Малая Андроньевская ул, д.20/8, стр.1-1А; ; ; ;Россия, Москва, Малая Андроньевская улица;12238;37.673509;55.743355;978;0.003809;37.676847;55.745193
4784;Москва, Малая Андроньевская ул, д.24; ; ; ;Россия, Москва, Малая Андроньевская улица, 24;12239;37.67334;55.741794;978;0.004883;37.676847;55.745193
4785;Москва, Малый Дровяной пер, д.3, стр.1; ; ; ;Россия, Москва, Малый Дровяной переулок, 3с1;12240;37.656901;55.745402;2105;0.002394;37.656554;55.743033
4786;Москва, Малый Дровяной пер, д.3, стр.2; ; ; ;Россия, Москва, Малый Дровяной переулок, 3с2;12241;37.656766;55.745604;2105;0.00258;37.656554;55.743033
4787;Москва, Малый Дровяной пер, д.3, стр.6; ; ; ;Россия, Москва, Малый Дровяной переулок, 3с6;12242;37.65717;55.745863;2105;0.002896;37.656554;55.743033
4788;Москва, Малый Дровяной пер, д.5, стр.1; ; ; ;Россия, Москва, Малый Дровяной переулок, 5с1;12243;37.657332;55.746218;2105;0.003278;37.656554;55.743033
4789;Москва, Малый Дровяной пер, д.6; ; ; ;Россия, Москва, Малый Дровяной переулок, 6;12244;37.65804;55.746375;2105;0.003657;37.656554;55.743033
4790;Москва, Малый Рогожский пер, д.11; ; ; ;Россия, Москва, Малый Рогожский переулок, 11;12245;37.671533;55.742442;1964;0.003592;37.66816;55.74121
4791;Москва, Малый Рогожский пер, д.13, стр.1; ; ; ;Россия, Москва, Малый Рогожский переулок, 13с1;12246;37.671974;55.742494;1964;0.004024;37.66816;55.74121
4792;Москва, Малый Рогожский пер, д.20/21; ; ; ;Россия, Москва, Малый Рогожский переулок, 13с1;12247;37.671974;55.742494;1964;0.004024;37.66816;55.74121
4793;Москва, Марксистская ул, д.1, корп.1; ; ; ;Россия, Москва, Марксистская улица, 1к1;12248;37.658796;55.740289;2105;0.003543;37.656554;55.743033
4794;Москва, Марксистская ул, д.1, стр.2; ; ; ;Россия, Москва, Марксистская улица, 1с2;12249;37.65937;55.740152;2105;0.004029;37.656554;55.743033
4795;Москва, Марксистская ул, д.10, стр.1; ; ; ;Россия, Москва, Марксистская улица, 10с1;12250;37.656937;55.739661;2105;0.003393;37.656554;55.743033
