"OBJECTID";"ADDRESS";"settlement";"street";"building_n";"geocoded";"ID";"POINT_X";"POINT_Y";"NEAR_FID";"NEAR_DIST";"NEAR_X";"NEAR_Y"
3571;"Москва, Земляной Вал ул, д.10";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 10";11026;37,656729;55,761892;884;0,001801;37,655580;55,760505
3572;"Москва, Земляной Вал ул, д.12/7, стр.1";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 12/7с1";11027;37,656649;55,761705;884;0,001607;37,655580;55,760505
3573;"Москва, Земляной Вал ул, д.12/7, стр.3";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 12/7с3";11028;37,656335;55,761619;884;0,001345;37,655580;55,760505
3574;"Москва, Земляной Вал ул, д.12/7, стр.4";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 12/7с4";11029;37,656038;55,762018;884;0,001581;37,655580;55,760505
3575;"Москва, Земляной Вал ул, д.12/7, стр.5";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 12/7с5";11030;37,656182;55,762090;884;0,001695;37,655580;55,760505
3576;"Москва, Земляной Вал ул, д.14-16, стр.1";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 14-16с2";11031;37,656109;55,760949;884;0,000692;37,655580;55,760505
3577;"Москва, Земляной Вал ул, д.14-16, стр.3";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 14-16с3";11032;37,656280;55,761041;884;0,000882;37,655580;55,760505
3578;"Москва, Земляной Вал ул, д.14-16, стр.5";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 14-16с5";11033;37,656172;55,760748;884;0,000640;37,655580;55,760505
3579;"Москва, Земляной Вал ул, д.18, стр.4";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 18с4";11034;37,656711;55,760154;884;0,001184;37,655580;55,760505
3580;"Москва, Земляной Вал ул, д.18-22, стр.1";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 18-22с1";11035;37,657116;55,759389;884;0,001898;37,655580;55,760505
3581;"Москва, Земляной Вал ул, д.18-22, стр.2";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 18-22с2";11036;37,656901;55,759956;884;0,001430;37,655580;55,760505
3582;"Москва, Земляной Вал ул, д.2";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 2";11037;37,656190;55,763152;884;0,002717;37,655580;55,760505
3583;"Москва, Земляной Вал ул, д.20, стр.3";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 20с3";11038;37,656558;55,759598;884;0,001334;37,655580;55,760505
3584;"Москва, Земляной Вал ул, д.24, стр.2";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 24/30с2";11039;37,656810;55,758847;884;0,002064;37,655580;55,760505
3585;"Москва, Земляной Вал ул, д.24/30, стр.1";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 24/30с1";11040;37,657188;55,758690;884;0,002424;37,655580;55,760505
3586;"Москва, Земляной Вал ул, д.24/30, стр.1А";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 24/30с1а";11041;37,656883;55,758428;884;0,002451;37,655580;55,760505
3587;"Москва, Земляной Вал ул, д.24/32";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 24/32";11042;37,655876;55,757293;884;0,003225;37,655580;55,760505
3588;"Москва, Земляной Вал ул, д.24/32, стр.7";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 24/32с7";11043;37,655167;55,757206;884;0,003323;37,655580;55,760505
3589;"Москва, Земляной Вал ул, д.25";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 25";11044;37,658238;55,759602;884;0,002807;37,655580;55,760505
3590;"Москва, Земляной Вал ул, д.26, стр.1";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 26с1";11045;37,657152;55,758114;884;0,002861;37,655580;55,760505
3591;"Москва, Земляной Вал ул, д.26, стр.2";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 26с2";11046;37,657160;55,757814;884;0,003120;37,655580;55,760505
3592;"Москва, Земляной Вал ул, д.30, стр.1";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 30с2";11047;37,656711;55,757531;884;0,003182;37,655580;55,760505
3593;"Москва, Земляной Вал ул, д.30, стр.2";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 30с2";11048;37,656711;55,757531;884;0,003182;37,655580;55,760505
