"ID","WALKING_DURATION","WALKING_DISTANCE"
"1130","623","894"
"1131","655","938"
"1132","639","921"
"1133","515","729"
"1134","638","895"
"1135","795","1107"
"1136","564","794"
"1137","584","821"
"1138","957","1310"
"1139","981","1346"
"1140","651","906"
"1141","653","907"
"1142","759","1052"
"1143","642","896"
"1144","1016","1396"
"1145","997","1370"
"1146","944","1298"
"1147","664","924"
"1148","692","959"
"1149","758","1044"
"1150","1057","1448"
"1151","729","1002"
"1152","767","1049"
"1153","784","1075"
"1154","487","701"
"1155","1105","1512"
"1156","805","1101"
"1157","845","1150"
"1158","865","1176"
"1159","1119","1527"
"1160","1144","1550"
"1161","966","1316"
"1162","972","1323"
"1163","1235","1663"
"1164","1196","1617"
"1165","1015","1380"
"1166","1042","1417"
"1167","1097","1494"
"1168","1091","1489"
"1169","610","876"
"1170","1106","1508"
"1171","1182","1607"
"1172","1212","1644"
"1173","1167","1583"
"1174","1290","1743"
"1175","1302","1759"
"1176","1271","1714"
"1177","600","862"
"1178","596","848"
"1179","556","790"
"1180","605","854"
"1181","492","699"
"1182","466","661"
"1183","541","767"
"1184","995","1419"
"1185","962","1358"
"1186","873","1226"
"1187","855","1201"
"1188","853","1191"
"1189","669","946"
"1190","804","1123"
"1191","608","855"
"1192","698","962"
"1193","579","802"
"1194","686","941"
"1195","652","887"
"1196","984","1389"
"1197","1055","1481"
"1198","588","796"
"1199","634","851"
"1200","535","707"
"1201","463","627"
"1202","457","623"
"1203","490","658"
"1204","400","549"
"1205","1023","1452"
"1206","467","624"
"1207","470","639"
"1208","472","638"
"1209","598","781"
"1210","627","815"
"1211","471","638"
"1212","543","719"
"1213","905","1285"
"1214","923","1297"
"1215","603","795"
"1216","680","893"
"1217","773","1029"
"1218","610","811"
"1219","776","1032"
"1220","768","1021"
"1221","803","1064"
"1222","838","1115"
"1223","763","1022"
"1224","919","1232"
"1225","926","1242"
"1226","898","1207"
"1227","879","1237"
"1228","980","1374"
"1229","926","1250"
"1230","1155","1542"
"1231","1160","1544"
"1232","1020","1370"
"1233","972","1375"
"1234","1214","1619"
"1235","1058","1418"
"1236","1258","1677"
"1237","1136","1519"
"1238","1345","1797"
"1239","1170","1565"
"1240","1412","1893"
"1241","1203","1608"
"1242","830","1174"
"1243","1412","1893"
"1244","1404","1883"
"1245","1457","1952"
"1246","1521","2084"
"1247","1476","2021"
"1248","1433","1961"
"1249","1356","1855"
"1250","1253","1713"
"1251","801","1105"
"1252","709","985"
"1253","660","917"
"1254","434","585"
"1255","397","531"
"1256","428","572"
"1257","409","545"
"1258","392","520"
"1259","412","550"
"1260","371","490"
"1261","790","1054"
"1262","837","1115"
"1263","970","1295"
"1264","1010","1348"
"1265","1096","1465"
