"ID","DRIVING_DURATION","DRIVING_DISTANCE"
"1116","738","6131"
"1117","744","6198"
"1118","730","6034"
"1119","798","6442"
"1120","735","6066"
"1121","722","5880"
"1122","711","5852"
"1123","721","5839"
"1124","718","5839"
"1125","719","5795"
"1126","681","5688"
"1127","799","6436"
"1128","789","6338"
"1129","796","6372"
"1130","829","6857"
"1131","840","6936"
"1132","861","7038"
"1133","797","6521"
"1134","786","6589"
"1135","779","6386"
"1136","766","6489"
"1137","769","6515"
"1138","743","6201"
"1139","751","6237"
"1140","788","6601"
"1141","788","6601"
"1142","804","6746"
"1143","776","6590"
"1144","742","5959"
"1145","749","6149"
"1146","733","6077"
"1147","768","6421"
"1148","798","6653"
"1149","794","6541"
"1150","727","5911"
"1151","783","6499"
"1152","791","6546"
"1153","797","6572"
"1154","819","6883"
"1155","710","5836"
"1156","766","6288"
"1157","773","6332"
"1158","778","6358"
"1159","711","5832"
"1160","682","5739"
"1161","743","6207"
"1162","744","6215"
"1163","759","6554"
"1164","701","5746"
"1165","745","6271"
"1166","755","6309"
"1167","775","6386"
"1168","776","6382"
"1169","820","6839"
"1170","761","6399"
"1171","800","6500"
"1172","783","6536"
"1173","769","6474"
"1174","795","6634"
"1175","799","6651"
"1176","783","6605"
"1177","816","6800"
"1178","805","6760"
"1179","923","7681"
"1180","806","6766"
"1181","767","6467"
"1182","764","6418"
"1183","812","6788"
"1184","885","7471"
"1185","905","7409"
"1186","897","7277"
"1187","894","7252"
"1188","889","7243"
"1189","869","7105"
"1190","876","7174"
"1191","848","6959"
"1192","906","7281"
"1193","830","6853"
"1194","903","7290"
"1195","864","6938"
"1196","888","7440"
"1197","909","7533"
"1198","859","6920"
"1199","869","6902"
"1200","854","6744"
"1201","811","6657"
"1202","833","6665"
"1203","824","6634"
"1204","820","6599"
"1205","896","7503"
"1206","810","6599"
"1207","786","6429"
"1208","797","6440"
"1209","810","6484"
"1210","779","6317"
"1211","767","6340"
"1212","762","6273"
"1213","875","7336"
"1214","889","7348"
"1215","768","6274"
"1216","773","6204"
"1217","776","6114"
"1218","759","6169"
"1219","789","6182"
"1220","774","6107"
"1221","760","6068"
"1222","770","6119"
"1223","731","5958"
"1224","745","5895"
"1225","736","5786"
"1226","732","5766"
"1227","877","7288"
"1228","909","7426"
"1229","723","5715"
"1230","757","6085"
"1231","741","6031"
"1232","717","5988"
"1233","908","7426"
"1234","704","5843"
"1235","722","6010"
"1236","716","5759"
"1237","714","5830"
"1238","717","5782"
"1239","706","5784"
"1240","707","5625"
"1241","703","5774"
"1242","867","7225"
"1243","712","5626"
"1244","692","5509"
"1245","701","5559"
"1246","906","7227"
"1247","902","7038"
"1248","889","6977"
"1249","825","6871"
"1250","809","6730"
"1251","721","5964"
"1252","692","5836"
"1253","687","5768"
"1254","720","5851"
"1255","731","5905"
"1256","717","5656"
"1257","708","5629"
"1258","702","5603"
"1259","650","5398"
"1260","662","5458"
"1261","633","5001"
"1262","598","4842"
"1263","604","4834"
"1264","614","4887"
"1265","620","4675"
"1266","614","4824"
"1267","595","4717"
"1268","606","4803"
"1269","589","4653"
"1270","756","6328"
"1271","746","6298"
"1272","768","6402"
"1273","778","6567"
"1274","793","6481"
"1275","781","6421"
"1276","619","4936"
"1277","635","4960"
"1278","839","6890"
"1279","826","6904"
"1280","751","6220"
"1281","709","6032"
"1282","711","5666"
"1283","726","5719"
"1284","732","5596"
"1285","708","5974"
"1286","671","5638"
"1287","670","5634"
"1288","664","5586"
"1289","664","5587"
"1290","672","5676"
"1291","688","5875"
"1292","714","5989"
"1293","729","6057"
"1294","677","5652"
"1295","681","5780"
"1296","681","5779"
"1297","852","7006"
"1298","836","6676"
"1299","822","6597"
"1300","854","6755"
"1301","854","6728"
"1302","795","6648"
"1303","799","6666"
"1304","707","5796"
"1305","687","5706"
"1306","675","5645"
"1307","666","5531"
"1308","637","5164"
"1309","615","5033"
"1310","635","5171"
"1311","636","5296"
"1312","624","5009"
"1313","600","4793"
"1314","892","7177"
"1315","616","4889"
"1316","577","4750"
"1317","633","4469"
"1318","594","4830"
"1319","594","4831"
"1320","579","4741"
"1321","631","4429"
"1322","594","4273"
"1323","582","4233"
"1324","579","4221"
"1325","552","4122"
"1326","881","7123"
"1327","869","7064"
"1328","768","6209"
"1329","752","6134"
"1330","723","5935"
"1331","719","5790"
"1332","769","6474"
"1333","769","6474"
"1334","845","6897"
"1335","833","6665"
"1336","824","6634"
"1337","820","6599"
"1338","896","7503"
"1339","810","6599"
"1340","786","6429"
"1341","797","6440"
"1342","810","6484"
"1343","779","6317"
"1344","767","6340"
"1345","762","6273"
"1346","875","7336"
"1347","889","7348"
"1348","768","6274"
"1349","773","6204"
"1350","776","6114"
"1351","759","6169"
"1352","789","6182"
"1353","774","6107"
"1354","760","6068"
"1355","770","6119"
"1356","731","5958"
"1357","745","5895"
"1358","736","5786"
"1359","732","5766"
"1360","877","7288"
"1361","909","7426"
"1362","723","5715"
"1363","757","6085"
"1364","741","6031"
"1365","717","5988"
"1366","908","7426"
"1367","704","5843"
"1368","722","6010"
"1369","716","5759"
"1370","714","5830"
"1371","717","5782"
"1372","706","5784"
"1373","707","5625"
"1374","703","5774"
"1375","867","7225"
"1376","712","5626"
"1377","692","5509"
"1378","701","5559"
"1379","906","7227"
"1380","902","7038"
"1381","889","6977"
"1382","825","6871"
"1383","809","6730"
"1384","721","5964"
"1385","692","5836"
"1386","687","5768"
"1387","720","5851"
"1388","731","5905"
"1389","717","5656"
"1390","708","5629"
"1391","702","5603"
"1392","650","5398"
"1393","662","5458"
"1394","633","5001"
"1395","598","4842"
"1396","604","4834"
"1397","614","4887"
"1398","620","4675"
"1399","614","4824"
"1400","595","4717"
"1401","606","4803"
"1402","589","4653"
"1403","756","6328"
"1404","746","6298"
"1405","768","6402"
"1406","778","6567"
"1407","793","6481"
"1408","781","6421"
"1409","619","4936"
"1410","635","4960"
"1411","839","6890"
"1412","826","6904"
"1413","751","6220"
"1414","709","6032"
"1415","711","5666"
"1416","726","5719"
"1417","732","5596"
"1418","708","5974"
"1419","671","5638"
"1420","670","5634"
"1421","664","5586"
"1422","664","5587"
"1423","672","5676"
"1424","688","5875"
"1425","714","5989"
"1426","729","6057"
"1427","677","5652"
"1428","681","5780"
"1429","681","5779"
"1430","852","7006"
"1431","836","6676"
"1432","822","6597"
"1433","854","6755"
"1434","854","6728"
"1435","795","6648"
"1436","799","6666"
"1437","707","5796"
"1438","687","5706"
"1439","675","5645"
"1440","666","5531"
"1441","637","5164"
"1442","615","5033"
"1443","635","5171"
"1444","636","5296"
"1445","624","5009"
"1446","600","4793"
"1447","892","7177"
"1448","616","4889"
"1449","577","4750"
"1450","633","4469"
"1451","594","4830"
"1452","594","4831"
"1453","579","4741"
"1454","631","4429"
"1455","594","4273"
"1456","582","4233"
"1457","579","4221"
"1458","552","4122"
"1459","881","7123"
"1460","869","7064"
"1461","768","6209"
"1462","752","6134"
"1463","723","5935"
"1464","719","5790"
"1465","769","6474"
"1466","769","6474"
"1467","845","6897"
"1468","461","3296"
"1469","642","4840"
"1470","655","4908"
"1471","646","4760"
"1472","648","4827"
"1473","609","4068"
"1474","646","4334"
"1475","609","4624"
"1476","612","4102"
"1477","621","4693"
"1478","639","4633"
"1479","639","4633"
"1480","639","4633"
"1481","594","4432"
"1482","570","4299"
"1483","607","4484"
"1484","613","4531"
"1485","592","4419"
"1486","597","4440"
"1487","613","4513"
"1488","618","4534"
"1489","589","4357"
"1490","601","4108"
"1491","610","4173"
