OBJECTID;ADDRESS;ID;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y;NEAR_FC
3864;Москва, Фестивальная ул, д.52;44028;37.512945;55.864242;78;0.00334;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3865;Москва, Фестивальная ул, д.52, корп.1;44029;37.512272;55.86498;78;0.003397;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3866;Москва, Флотская ул, д.21;44030;37.51201;55.859356;78;0.003349;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3867;Москва, Флотская ул, д.23;44031;37.512711;55.860781;78;0.002825;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3868;Москва, Флотская ул, д.23, корп.1;44032;37.512999;55.860427;78;0.003257;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3869;Москва, Флотская ул, д.27;44033;37.514409;55.86204;78;0.004131;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3870;Москва, Флотская ул, д.29, корп.1;44034;37.514931;55.86305;78;0.00472;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3871;Москва, Флотская ул, д.29, корп.2;44035;37.513916;55.863677;78;0.003912;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3872;Москва, Флотская ул, д.29, корп.3;44036;37.51512;55.863965;78;0.00514;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3873;Москва, Флотская ул, д.31;44037;37.51573;55.863352;78;0.005562;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3874;Москва, Флотская ул, д.33;44038;37.516709;55.863474;78;0.006547;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3875;Москва, Флотская ул, д.35;44039;37.517373;55.863524;23;0.007171;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3876;Москва, Флотская ул, д.37;44040;37.518219;55.863828;23;0.006719;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3877;Москва, Флотская ул, д.74;44041;37.514832;55.858407;78;0.005939;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3878;Москва, Флотская ул, д.76;44042;37.513898;55.858817;78;0.004968;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3879;Москва, Флотская ул, д.76, корп.2;44043;37.514769;55.858906;78;0.00558;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3880;Москва, Флотская ул, д.78;44044;37.513583;55.859573;78;0.004233;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3881;Москва, Флотская ул, д.78, корп.1;44045;37.514894;55.859468;78;0.005373;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3882;Москва, Флотская ул, д.78, корп.2;44046;37.514894;55.859468;78;0.005373;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3883;Москва, Флотская ул, д.80/7;44047;37.514401;55.860346;78;0.004526;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3884;Москва, Флотская ул, д.82/6;44048;37.514894;55.860892;78;0.0048;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3885;Москва, Флотская ул, д.82/6, стр.1;44049;37.514957;55.860543;78;0.004968;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3886;Москва, Флотская ул, д.84;44050;37.516063;55.860841;78;0.005943;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3887;Москва, Флотская ул, д.86;44051;37.515748;55.861434;78;0.005522;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3888;Москва, Флотская ул, д.90;44052;37.516223;55.861863;78;0.005952;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3889;Москва, Флотская ул, д.92;44053;37.517132;55.861807;23;0.006514;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3890;Москва, Флотская ул, д.94;44054;37.517822;55.862353;23;0.006146;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3891;Москва, Флотская ул, д.96;44055;37.518487;55.862717;23;0.005795;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3892;Москва, Флотская ул, д.98;44056;37.519152;55.863086;23;0.005531;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3893;Москва, Флотская ул, д.82;44057;37.514723;55.860761;78;0.004676;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3894;Москва, 1-й Лихачёвский пер, д.2/1;44058;37.520743;55.844217;80;0.004895;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3895;Москва, 1-й Лихачёвский пер, д.2А;44059;37.520743;55.844217;80;0.004895;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3896;Москва, 1-й Лихачёвский пер, д.3;44060;37.519494;55.844814;80;0.003525;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3897;Москва, Онежская ул, д.11/1;44061;37.520249;55.848846;80;0.004147;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3898;Москва, Онежская ул, д.12/1;44062;37.521426;55.849635;80;0.005559;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3899;Москва, Онежская ул, д.12/2;44063;37.521426;55.849635;80;0.005559;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3900;Москва, Онежская ул, д.13/1;44064;37.5198;55.849752;80;0.004309;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3901;Москва, Онежская ул, д.14/2;44065;37.521703;55.85008;80;0.006028;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3902;Москва, Онежская ул, д.16;44066;37.521703;55.850756;80;0.006416;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3903;Москва, Онежская ул, д.17/4;44067;37.518388;55.85159;80;0.005062;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3904;Москва, Онежская ул, д.17/5;44068;37.518388;55.85159;80;0.005062;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
