"OBJECTID";"ADDRESS";"settlement";"street";"building_n";"geocoded";"ID";"POINT_X";"POINT_Y"
164;"Москва, Бирюлёвская ул, д.39";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 39";335;37,665731;55,588191
165;"Москва, Бирюлёвская ул, д.41/7";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 41/7";336;37,666071;55,587743
166;"Москва, Лебедянская ул, д.11";" ";" ";" ";"Россия, Москва, Лебедянская улица, 11";347;37,668543;55,587982
167;"Москва, Лебедянская ул, д.13";" ";" ";" ";"Россия, Москва, Лебедянская улица, 13";349;37,668929;55,587529
168;"Москва, Лебедянская ул, д.15, корп.1";" ";" ";" ";"Россия, Москва, Лебедянская улица, 15к1";351;37,669046;55,588414
169;"Москва, Лебедянская ул, д.15, корп.2";" ";" ";" ";"Россия, Москва, Лебедянская улица, 15к2";352;37,670033;55,588349
170;"Москва, Лебедянская ул, д.17, корп.1";" ";" ";" ";"Россия, Москва, Лебедянская улица, 17к1";353;37,670599;55,587809
171;"Москва, Лебедянская ул, д.17, корп.3";" ";" ";" ";"Россия, Москва, Лебедянская улица, 17к3";354;37,671264;55,588628
172;"Москва, Лебедянская ул, д.21";" ";" ";" ";"Россия, Москва, Лебедянская улица, 21";356;37,672423;55,588074
173;"Москва, Лебедянская ул, д.23";" ";" ";" ";"Россия, Москва, Лебедянская улица, 23";357;37,673465;55,587676
