"OBJECTID";"ADDRESS";"settlement";"street";"building_n";"geocoded";"ID";"OBJECTID_1";"HOUSE_ID";"SCHOOL_ID";"POINT_X";"POINT_Y"
139;"Москва, Покровка ул, д.24/2, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 24/2";142;142;142;577;37,648563;55,759622
140;"Москва, Покровка ул, д.24/2, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 24/2";142;405;142;1125;37,648563;55,759622
141;"Москва, Покровка ул, д.24/2, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 24/2";142;668;142;727;37,648563;55,759622
142;"Москва, Покровка ул, д.25, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 25с2";143;143;143;577;37,647368;55,760104
143;"Москва, Покровка ул, д.25, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 25с2";143;406;143;1125;37,647368;55,760104
144;"Москва, Покровка ул, д.25, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 25с2";143;669;143;727;37,647368;55,760104
145;"Москва, Покровка ул, д.25, стр.2";" ";" ";" ";"Россия, Москва, улица Покровка, 25с2";144;144;144;577;37,647368;55,760104
146;"Москва, Покровка ул, д.25, стр.2";" ";" ";" ";"Россия, Москва, улица Покровка, 25с2";144;407;144;1125;37,647368;55,760104
147;"Москва, Покровка ул, д.25, стр.2";" ";" ";" ";"Россия, Москва, улица Покровка, 25с2";144;670;144;727;37,647368;55,760104
154;"Москва, Покровка ул, д.26/1, стр.3";" ";" ";" ";"Россия, Москва, улица Покровка, 26/1с3";147;147;147;577;37,649713;55,759729
155;"Москва, Покровка ул, д.26/1, стр.3";" ";" ";" ";"Россия, Москва, улица Покровка, 26/1с3";147;410;147;1125;37,649713;55,759729
156;"Москва, Покровка ул, д.26/1, стр.3";" ";" ";" ";"Россия, Москва, улица Покровка, 26/1с3";147;673;147;727;37,649713;55,759729
160;"Москва, Покровка ул, д.27, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 27с1";149;149;149;577;37,648096;55,760194
161;"Москва, Покровка ул, д.27, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 27с1";149;412;149;1125;37,648096;55,760194
162;"Москва, Покровка ул, д.27, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 27с1";149;675;149;727;37,648096;55,760194
163;"Москва, Покровка ул, д.27, стр.2";" ";" ";" ";"Россия, Москва, улица Покровка, 27с2";150;150;150;577;37,647540;55,760154
164;"Москва, Покровка ул, д.27, стр.2";" ";" ";" ";"Россия, Москва, улица Покровка, 27с2";150;413;150;1125;37,647540;55,760154
165;"Москва, Покровка ул, д.27, стр.2";" ";" ";" ";"Россия, Москва, улица Покровка, 27с2";150;676;150;727;37,647540;55,760154
181;"Москва, Покровка ул, д.28, стр.7";" ";" ";" ";"Россия, Москва, улица Покровка, 28с7";156;156;156;577;37,650881;55,759734
182;"Москва, Покровка ул, д.28, стр.7";" ";" ";" ";"Россия, Москва, улица Покровка, 28с7";156;419;156;1125;37,650881;55,759734
183;"Москва, Покровка ул, д.28, стр.7";" ";" ";" ";"Россия, Москва, улица Покровка, 28с7";156;682;156;727;37,650881;55,759734
256;"Москва, Сверчков пер, д.10";" ";" ";" ";"Россия, Москва, Сверчков переулок, 10";210;210;210;577;37,640147;55,760221
257;"Москва, Сверчков пер, д.10";" ";" ";" ";"Россия, Москва, Сверчков переулок, 10";210;473;210;1125;37,640147;55,760221
258;"Москва, Сверчков пер, д.10";" ";" ";" ";"Россия, Москва, Сверчков переулок, 10";210;736;210;727;37,640147;55,760221
